-1,0,-1,0,-3,-1,1,-2,0
-2,-1,0,1,1,1,1,-1,0
-2,-3,-1,-1,0,-2,-2,-1,0
0,-1,1,-1,0,-3,0,0,0
0,0,-1,-2,-1,-1,-1,0,0
-1,0,-3,-1,-1,-1,-1,0,0
0,0,-2,-2,-1,-2,-1,-1,0
-1,-3,-1,-3,1,0,0,-2,0
-2,-1,-3,-3,-2,0,-3,-1,0
-1,-1,-1,0,-3,-3,-1,-2,0
-1,-2,-2,0,0,1,1,-1,0
-2,-1,-1,0,2,2,1,0,0
-1,0,0,0,-5,-3,-2,-2,0
-2,0,-3,-4,-2,-1,0,-3,0
0,0,1,0,0,-3,1,0,0
-2,-1,-2,1,-1,0,0,-1,0
-2,-1,1,1,-2,0,-1,-2,0
1,1,-1,-3,0,0,2,1,0
-1,-1,0,-1,0,-1,0,-2,0
0,-3,-2,-1,-1,-2,-1,-1,0
1,0,1,0,0,-1,0,-1,0
-1,-1,0,-1,-2,1,-2,-2,0
-1,1,0,0,2,-1,-2,-1,0
-1,-2,-2,-3,-2,-1,-1,1,0
-2,-1,0,-1,1,1,0,0,0
-1,-2,1,0,-2,0,1,0,0
0,-2,0,2,0,2,32,2,0
1,1,0,1,-1,-2,14,0,0
0,-1,-3,-1,2,0,-14,0,0
-1,-1,-2,-2,0,0,-12,0,0
-3,-1,0,-3,-2,-3,-13,-3,0
-2,-1,-1,-2,-1,2,-7,-1,0
-2,-3,0,0,-2,-3,-4,-2,0
-2,-1,-2,-1,1,1,-4,0,0
0,0,-1,0,-2,-2,-3,-2,0
-1,-2,0,-1,-3,-2,-5,-2,0
0,1,-1,-1,0,-4,-2,0,0
-1,-3,-1,-2,-1,-2,0,-2,0
-1,-2,-1,-1,-2,2,2,-1,0
1,1,0,-1,-1,0,-1,-1,0
1,0,-2,1,1,0,1,-1,0
0,-1,0,1,0,0,-1,1,0
-2,0,-2,0,-2,2,-2,-1,0
-3,-2,-3,0,0,-8,-6,-2,0
0,-3,-1,-1,2,6,4,0,0
0,-2,-2,-1,2,-2,2,0,0
0,-2,0,0,-2,-2,-4,0,0
-1,-1,0,-2,-1,1,-1,0,0
1,-1,1,-1,-1,-1,0,0,0
-2,-1,0,1,-3,-5,1,0,0
-2,-1,-2,0,-1,-2,-1,0,0
0,0,0,-1,-1,1,1,0,0
-1,-3,-2,-1,-1,-5,-2,-1,0
-1,-2,0,-1,-2,4,-1,-2,0
