-7,-4,-3,-3,-3,-1,1,-7,0
1,-3,1,-1,-5,-1,-3,0,0
3,-2,-2,-1,-1,1,0,2,0
-2,2,-1,0,0,0,0,-3,0
-2,-3,-1,2,0,-2,-2,-3,0
-1,-5,0,-1,0,-1,-1,2,0
2,4,1,-1,-1,2,-1,0,0
-1,4,-2,2,1,1,-1,-1,0
1,-3,-2,-2,0,-2,-1,-5,0
4,-2,-1,1,0,-4,-1,2,0
-3,2,-4,3,1,-1,1,1,0
-1,-3,-8,-4,2,-2,0,-3,0
0,-5,-1,0,-1,-1,-1,-3,0
-1,-1,3,-3,-3,-1,1,3,0
-1,0,-1,-1,-2,-1,2,-1,0
2,2,-3,0,1,1,-1,2,0
-1,-4,0,0,-2,-1,-2,0,0
2,-5,3,1,-4,-3,1,0,0
1,3,-2,-1,1,0,-3,0,0
-1,4,-2,0,2,1,1,-3,0
-2,-1,0,-2,-4,1,-2,-1,0
-2,-5,1,0,-1,-4,-1,-1,0
1,3,-1,-3,-4,-1,0,5,0
2,4,-2,0,2,2,-1,-1,0
0,-7,0,0,1,0,-2,0,0
-1,-4,2,-2,-4,-2,-3,-1,0
1,5,-1,1,1,-2,0,-3,0
1,3,-3,-2,-1,-2,0,-4,0
-2,-3,2,2,1,-1,1,0,0
-3,-7,3,-3,-2,-3,2,2,0
5,3,0,0,1,0,2,3,0
0,2,-3,0,1,2,-1,-1,0
-2,-4,0,1,-1,-4,2,-3,0
0,-5,2,0,-2,-1,1,3,0
0,5,0,1,0,-1,0,-1,0
-5,-6,-5,3,3,-4,-4,-8,0
-1,-3,-1,-3,0,-1,-3,2,0
-4,-7,3,-1,-3,-3,1,-1,0
2,3,-1,1,2,0,0,0,0
-1,6,-3,-3,1,0,-1,-2,0
-1,-1,1,-1,-2,0,1,-3,0
-3,-6,1,0,-3,0,-3,2,0
-1,2,-1,0,0,2,-1,-1,0
1,3,-1,1,1,0,-2,-1,0
-1,-4,-2,-1,-3,1,0,0,0
-1,-7,1,3,-2,0,-3,0,0
0,2,1,-3,-1,1,0,1,0
1,3,-3,1,2,2,0,-3,0
0,-5,-4,1,-1,0,1,-1,0
-1,-5,2,-3,-5,1,0,3,0
0,3,-3,-2,1,0,-1,-2,0
-3,5,-2,-1,-1,0,-1,-1,0
-2,-7,1,-1,-2,-4,-4,-1,0
-1,-1,3,-3,-5,-2,1,0,0
4,-1,-1,1,3,3,2,0,0
-1,2,-5,1,3,-1,-2,0,0
-1,-2,0,-1,-1,-1,-3,-1,0
0,-4,1,-3,-2,-3,-2,0,0
1,2,0,0,3,-2,0,-1,0
3,4,-2,-2,3,-1,-1,0,0
-4,-1,2,0,-2,2,1,0,0
1,-5,-1,1,-2,-2,-1,-1,0
0,-1,-1,0,-1,0,-1,0,0
1,1,0,0,4,0,-2,-1,0
-2,-3,0,-4,-2,-2,-5,1,0
-4,-4,1,-1,-2,-2,-1,-1,0
-1,3,1,-1,-3,0,-2,0,0
-1,1,-4,1,2,-2,0,-1,0
-1,-5,1,1,0,-2,1,0,0
-3,-3,2,-1,-1,-2,1,2,0
-1,1,-1,1,4,0,5,2,0
-1,3,-1,0,-1,0,-3,-4,0
2,-2,2,2,-1,-2,0,0,0
-1,-2,4,-2,1,-3,-1,0,0
2,4,-2,-1,0,2,0,2,0
-1,3,-4,0,1,1,-2,-1,0
-3,-2,0,-2,-1,-5,-4,-3,0
1,-6,3,1,-2,0,2,-3,0
-1,3,-4,1,1,0,-1,0,0
0,3,-3,-1,2,0,0,0,0
-2,-4,2,0,0,-1,0,-1,0
0,-3,-1,-1,2,1,-1,1,0
1,0,0,-1,0,-3,-1,-1,0
1,1,0,0,0,-1,-2,-2,0
-1,2,-1,3,1,-1,1,-2,0
-1,0,0,0,-1,0,-3,0,0
-3,-3,-1,2,1,1,-1,-3,0
0,-3,-1,0,-1,-2,0,-1,0
-3,-1,3,2,2,-1,-3,-1,0
0,-1,-5,-3,1,3,3,0,0
-2,-1,0,-1,-2,-2,-4,-3,0
2,-3,0,2,-1,-3,-3,3,0
-1,0,-1,1,0,-2,-1,0,0
0,2,2,-8,0,-2,3,0,0
-1,2,-2,-4,-2,-1,0,-1,0
0,0,-1,0,0,-3,-2,0,0
-1,1,2,3,1,0,-3,1,0
-1,-1,1,3,0,1,1,-3,0
-1,-1,-2,-6,-1,-2,0,-1,0
-3,-2,2,-3,-1,-1,0,-1,0
-1,2,0,0,-1,-1,-2,-1,0
0,-1,0,-3,3,1,-1,0,0
-4,0,0,-3,-3,-1,0,-2,0
1,-1,3,1,-2,1,-1,2,0
0,0,1,-3,-4,-3,1,0,0
1,2,0,1,1,-3,2,-4,0
-1,-2,0,1,3,-3,-4,0,0
-2,-2,-1,0,3,1,-2,-1,0
-2,0,-4,-1,-3,-1,-2,0,0
-1,0,-6,-4,-2,1,1,-1,0
-2,-5,1,3,1,0,1,0,0
2,-1,-4,-1,-1,0,1,-2,0
0,0,0,1,1,-2,-2,-3,0
-3,-3,-2,-2,1,-1,-1,-2,0
1,-2,-1,1,-2,4,0,0,0
-1,-1,3,-1,3,-2,3,1,0
-3,-2,1,0,0,-3,1,-1,0
1,-1,3,-1,1,-4,0,-2,0
-3,-3,-4,0,-1,-1,-3,-4,0
-1,-2,1,-1,-1,0,-1,-1,0
1,-1,-2,-3,0,-1,1,0,0
-1,0,-2,0,-1,1,0,0,0
1,-2,-2,-3,1,-4,-1,1,0
-1,-2,0,-1,1,-1,-3,2,0
-1,-5,0,-3,-3,-1,-1,-3,0
0,1,-1,1,0,-1,1,-2,0
-5,0,-1,-3,-1,2,0,1,0
-4,-4,1,-1,1,-2,-3,-1,0
-1,0,0,3,-5,-2,-2,4,0
0,-1,0,2,3,-1,-1,-2,0
-7,-3,-5,-8,1,1,0,-5,0
1,-1,-1,-2,-2,-1,-3,0,0
2,0,1,1,1,-2,-3,0,0
1,0,-1,1,-2,2,-2,-3,0
-2,0,2,0,1,-2,1,-2,0
-1,-5,0,-2,-1,1,3,0,0
-2,-3,-2,-3,2,0,0,-1,0
-3,0,-2,-4,0,0,2,1,0
0,-1,-2,-1,-3,1,1,-1,0
-1,-3,1,-1,0,-2,-1,-1,0
2,3,1,2,3,-2,-1,0,0
0,0,-4,-4,0,0,0,-1,0
0,-2,-1,-1,3,2,1,1,0
1,-3,2,0,1,0,1,-1,0
0,-3,0,-1,-3,0,-1,-1,0
-1,-1,-2,-1,2,1,-3,0,0
2,-3,1,-1,-1,-3,-2,-3,0
0,1,0,-1,-2,-1,3,-1,0
0,0,0,3,-2,-2,0,-3,0
-1,-1,-1,-3,1,-1,-3,-1,0
2,-1,-1,-2,2,-1,2,1,0
0,2,0,2,-1,0,0,6,0
2,1,0,0,2,0,-1,-1,0
2,-2,-1,2,2,-2,-1,-1,0
-3,-2,0,2,0,-2,-3,-4,0
-7,0,1,-2,1,-1,1,-1,0
3,0,-2,0,0,0,-1,-1,0
0,1,-1,0,-3,-1,0,2,0
0,-1,0,-3,-4,1,-4,-3,0
0,-2,1,0,0,0,-3,-2,0
-1,1,0,-2,1,-1,-1,-4,0
0,3,1,1,2,1,-1,-1,0
-2,-3,-1,-4,0,2,0,1,0
1,0,3,0,1,2,1,0,0
-3,2,0,-2,-3,-2,-2,-1,0
-7,0,1,-1,2,1,-1,-1,0
5,0,-3,-2,-2,-3,-1,-2,0
1,-4,1,0,-2,-4,-2,0,0
-4,0,-2,0,-1,-1,3,-2,0
-3,5,0,0,-1,1,2,2,0
-2,2,2,0,1,-1,-2,0,0
0,-1,1,2,-1,-4,-4,-1,0
-1,-1,2,2,-1,0,-1,-2,0
11,2,2,1,-5,0,-2,-1,0
-27,-8,1,-1,-5,-1,2,-3,0
-4,0,1,0,-1,-2,2,1,0
1,1,0,-3,-1,-1,1,-5,0
9,0,0,-1,-1,-2,2,3,0
3,-2,0,-2,-4,1,-2,5,0
-6,-2,0,-2,1,-2,-1,-2,0
-2,1,-4,-1,-1,0,2,-1,0
0,-3,-4,1,2,0,-1,0,0
0,0,0,-1,0,1,2,-2,0
3,0,-1,1,-1,0,0,-2,0
0,-1,-2,2,1,3,-1,1,0
-3,0,-5,-3,0,0,-2,-1,0
0,0,-4,1,1,-1,-1,-1,0
0,-1,0,-3,-1,-2,-3,-2,0
-1,-2,1,-1,0,-2,0,-5,0
3,0,2,1,-1,-2,-2,-3,0
-2,-3,-4,-2,-1,1,1,0,0
-2,0,-2,-3,1,-1,0,-1,0
-1,-2,1,1,3,1,-1,-2,0
-2,1,-1,-1,1,2,-3,1,0
0,-1,1,-3,-1,-1,1,-4,0
0,1,1,2,0,-2,-3,0,0
-1,0,-2,0,-1,3,-2,1,0
0,1,0,-3,-3,1,-3,-3,0
-1,-3,-3,-1,-6,-1,-3,-1,0
-2,-1,1,-1,2,-3,3,-3,0
-1,-2,-2,0,1,-2,2,0,0
-1,-3,-1,0,-3,-1,1,-1,0
0,-1,0,1,-2,0,-1,-2,0
-10,-3,-1,-2,0,-3,2,1,0
22,3,0,0,0,0,-3,0,0
-2,0,0,-3,0,-3,0,0,0
-5,-6,-1,2,0,1,0,-8,0
4,6,3,-1,-4,0,-1,6,0
8,2,0,0,-2,-1,-3,-5,0
-28,-8,-3,-2,2,1,0,-4,0
-2,0,2,0,-3,-4,-1,-2,0
-3,-1,-1,0,-1,0,-1,0,0
3,2,0,-2,3,0,-1,-1,0
-1,-4,1,-1,-2,1,-1,1,0
0,1,1,-3,-4,1,-1,1,0
0,-3,-3,-1,-1,-2,-1,0,0
0,0,0,-1,4,0,0,-1,0
-3,-1,-2,3,-1,-2,-3,-4,0
1,0,1,1,-3,-2,0,2,0
-1,-1,1,3,-1,0,2,-2,0
0,1,-4,0,0,0,-3,-2,0
-3,0,-2,1,2,0,-2,-1,0
-3,-2,2,-2,-3,1,0,2,0
-2,1,-3,-2,-2,-2,-3,0,0
-2,0,-2,-3,-2,-1,0,3,0
3,0,-1,0,2,0,1,-2,0
3,2,3,1,-3,-2,0,0,0
-1,-2,1,-1,0,0,-1,0,0
-2,1,-3,-1,2,0,0,0,0
-4,-2,-3,-2,-2,-2,-1,0,0
0,-1,0,-3,-1,-5,-1,-1,0
-1,0,1,0,-2,-1,2,0,0
-4,0,1,-1,-1,1,-2,1,0
-2,1,-3,-1,0,1,-1,-2,0
3,-1,-3,0,-5,-5,-2,4,0
1,-3,-1,-2,0,2,0,0,0
2,-4,-2,-2,-1,0,2,2,0
0,-2,0,0,1,-1,0,1,0
-3,2,-3,0,-4,0,0,0,0
-1,1,-2,-2,-1,-2,0,0,0
3,2,2,0,-4,-2,1,1,0
-1,-4,-1,-4,-2,1,-2,1,0
-2,-2,-3,-2,-1,-1,3,2,0
0,-1,1,-3,1,-5,1,-3,0
2,2,-3,0,0,1,-1,1,0
-3,0,-1,1,1,1,2,-1,0
-1,6,-1,1,-3,1,0,-2,0
-1,0,0,2,1,-2,0,0,0
0,-1,0,-1,0,0,1,-1,0
-2,0,-4,2,-1,-4,-1,-2,0
-1,-1,1,-4,1,-2,-2,-1,0
-1,2,2,1,0,0,1,2,0
-2,0,1,1,0,0,-1,-1,0
-6,2,-2,-1,-1,1,-3,-1,0
17,3,5,0,-4,-2,-5,3,0
3,-4,0,-1,-2,0,-4,2,0
-4,0,-1,1,3,-1,-2,-1,0
7,4,-3,0,1,-1,-4,-4,0
-15,-12,-1,0,1,2,0,-4,0
9,4,1,0,0,1,0,3,0
-2,1,-1,0,2,0,1,-3,0
0,1,-1,-1,-1,-3,2,-1,0
-3,-3,-1,-4,1,-1,0,-1,0
-3,1,1,1,-2,1,-2,0,0
1,1,-4,0,1,-2,0,2,0
2,1,-4,1,0,1,-1,4,0
-2,1,6,1,-2,-4,-3,-1,0
4,-4,1,-1,4,-4,1,-2,0
-1,-1,0,-1,-2,-2,2,2,0
-2,1,-1,-1,-2,1,0,0,0
-2,-4,-3,2,-6,-1,-1,1,0
-1,-4,-2,-1,-3,1,-2,1,0
-1,3,-1,-2,1,-1,-1,0,0
2,-1,-3,-2,-1,-3,-3,-1,0
-3,0,-2,2,-1,0,2,0,0
-2,-1,1,-1,-2,1,-1,2,0
-7,1,0,0,-1,0,0,-3,0
17,-4,-1,-3,-3,-3,-2,5,0
-3,-2,-3,0,-4,0,-3,-2,0
-2,-1,0,0,3,1,-2,-3,0
0,1,-3,-3,1,1,3,3,0
