4, 0, 0, 3, 2, 2, 0, 2, 0
1, -1, -1, -1, 0, 3, 0, -2, 0
-2, -3, 0, -1, -1, -6, -1, -1, 0
0, -3, -2, -4, -3, 0, -2, -6, 0
-1, 1, 1, 1, -3, -1, -2, 1, 0
0, -1, 3, 2, 0, -1, 0, -1, 0
-1, 0, 1, -1, -3, 0, -1, -3, 0
-3, 0, -4, -3, 1, 0, -2, 0, 0
0, 4, 0, 2, 1, -2, -3, 2, 0
-3, 0, -2, -4, -3, 1, 1, -2, 0
0, 0, -2, -5, 1, -3, -2, -3, 0
2, -5, 0, -9, -4, -1, -2, 1, 0
0, -5, -7, 3, 2, -1, -1, -1, 0
-2, -1, -9, -4, -4, 0, -4, 1, 0
0, 2, -3, 1, 1, -2, -1, 2, 0
4, 2, -3, 6, 6, 1, 3, 1, 0
0, -1, 5, 20, 6, 3, 0, 0, 0
-2, -1, -1, -5, -4, -2, -3, -1, 0
-1, -2, -1, -9, -6, -5, -3, -1, 0
0, 1, 0, -5, -4, -1, -1, -2, 0
0, 0, -3, -4, -3, -1, -1, -1, 0
-4, -1, -1, 0, 1, -3, -3, 0, 0
0, -3, 1, 1, -1, -2, 1, 0, 0
-3, -2, -3, 3, 1, -4, 2, 1, 0
-3, 0, -1, -2, -2, 0, -1, 0, 0
0, 1, -2, -1, -1, -2, -1, -3, 0
0, 0, -1, -2, -2, 0, 2, -3, 0
1, -1, 3, 1, 2, 0, -2, -3, 0
-4, -4, -7, -4, -4, -3, -3, -4, 0
1, 2, 4, 1, 0, 0, 1, 0, 0
-6, -7, -6, -6, -5, -2, -3, -2, 0
-2, 2, 3, -1, 4, 0, -4, 0, 0
3, 2, 1, 0, 3, -1, 1, 0, 0
1, 3, -3, -2, 1, 1, -3, -3, 0
-2, -3, -3, -1, 2, -2, 0, -4, 0
1, -2, 0, -2, -1, 0, 0, -2, 0
-4, 2, -3, 0, -3, -2, 0, 0, 0
1, 1, 1, 0, -2, 2, -2, -2, 0
0, -4, -1, -4, -5, -4, 0, -1, 0
0, -1, 0, 4, 3, 2, 0, 0, 0
-3, 0, -4, -1, 5, 1, 1, -1, 0
0, 0, 3, 1, -1, 0, 1, 0, 0
-1, 0, -2, 3, 1, 1, -1, 0, 0
-1, 0, -1, -3, -1, 3, -1, -4, 0
0, 1, -2, -5, -3, 0, -2, -1, 0
1, -1, -3, -1, 0, 1, -2, -1, 0
-2, -2, -4, -4, 2, 0, 1, -3, 0
1, -3, -1, 0, -1, 1, 1, 0, 0
