-8,12,8,3,-1,0,-2,0,0
-5,-4,2,0,-1,1,0,-1,0
1,0,-2,-1,-1,0,-1,-1,0
0,1,-1,-2,1,0,-2,-1,0
1,-6,-4,-2,0,-2,0,-1,0
-2,5,-2,0,-1,1,0,0,0
-4,0,2,1,-1,1,-1,1,0
0,-2,-1,0,-2,0,-1,-1,0
-2,-3,-3,0,-2,-1,-1,1,0
2,-2,-2,-1,-1,-2,0,-1,0
0,-2,-2,0,-1,0,-1,-3,0
1,0,-3,-3,0,-3,0,0,0
-6,-13,1,0,1,-2,-1,-2,0
0,0,-1,-2,-1,0,-2,0,0
0,0,-1,0,0,2,-1,0,0
-1,-2,-1,-1,-1,0,-1,-3,0
1,-3,-2,-2,-2,0,0,-1,0
-1,2,2,-1,0,-1,-1,0,0
-3,0,-1,-2,-1,-1,2,0,0
1,-1,-3,1,0,-1,0,-2,0
3,2,-1,0,-1,-1,-1,-1,0
-2,-3,-1,1,-1,-2,0,0,0
2,0,-3,-1,-2,-1,0,0,0
-2,0,-1,-1,-1,0,-2,-1,0
0,-4,0,1,-2,-1,1,0,0
-1,-2,2,0,0,-1,-2,-2,0
1,-1,-1,0,0,-1,1,0,0
1,-3,-1,-1,-1,0,-1,1,0
0,0,-2,-1,-1,0,-1,-1,0
-1,1,-2,-2,-1,0,-1,-2,0
2,-3,-3,-3,-3,-1,-2,-1,0
-2,4,-1,0,-2,-1,-1,-1,0
0,2,-2,-1,-1,-2,-2,-1,0
-2,-5,-1,0,2,0,-1,-2,0
-1,5,1,-1,1,-1,-1,-1,0
-1,-3,0,0,0,0,0,0,0
6,0,-3,-1,0,-1,0,0,0
0,1,-2,-2,-3,-1,-2,1,0
1,0,-2,-1,-2,0,-1,0,0
-6,-5,4,-1,2,0,-1,-1,0
-2,1,-2,0,-1,-1,0,-1,0
1,-2,0,0,-1,0,-2,0,0
-1,-1,-1,-1,1,-2,-2,0,0
0,0,-1,0,-1,-1,-1,1,0
-1,-4,-3,-1,-2,0,0,0,0
-2,0,1,-1,-2,-1,1,-1,0
-3,-2,0,-1,0,0,1,-2,0
-3,-8,-2,-1,0,-2,0,1,0
-2,-1,3,1,2,-1,-2,-1,0
0,-2,-2,0,-2,-1,-1,-2,0
-1,1,0,-1,0,-1,0,0,0
1,-1,-3,-4,-2,-1,0,-1,0
-1,0,-2,-1,-1,1,-1,-2,0
0,0,-2,-1,-2,-1,-1,0,0
-4,-4,0,0,1,-1,-1,0,0
0,2,-1,1,-1,2,-1,1,0
-2,-1,1,-1,0,1,1,1,0
-2,1,0,-1,0,0,0,0,0
0,-1,-1,-3,-3,-2,0,-1,0
-1,4,2,0,-1,-2,-1,-2,0
0,3,1,-2,-1,-1,-3,-1,0
2,-10,-5,-2,0,0,-1,0,0
-2,-8,-2,0,-1,0,-2,-1,0
0,0,0,-1,-1,-3,-1,-1,0
-1,-4,-3,-1,-3,0,0,-1,0
0,0,0,0,0,0,-1,-1,0
0,0,0,-1,0,0,0,-1,0
1,0,-1,-1,-1,-1,0,-2,0
-2,-1,-1,-2,0,-1,0,-1,0
2,0,0,-1,-2,-1,-1,-1,0
-1,3,0,1,-1,1,-1,0,0
1,2,-1,1,-1,0,1,-1,0
-2,2,-1,0,-2,-3,-1,-1,0
-1,3,1,-2,1,0,-1,-1,0
-3,0,0,-1,0,0,1,0,0
-1,-3,-2,-2,-1,0,0,-2,0
-1,-1,0,0,-2,-1,1,0,0
0,3,0,2,-1,-2,0,0,0
0,0,2,0,0,-2,0,-2,0
1,0,-3,-1,1,-1,-1,-1,0
-1,-1,-1,0,0,1,0,0,0
-6,8,5,0,0,-1,-1,-2,0
4,-2,-4,-2,0,1,-1,0,0
0,4,0,-1,-1,-1,-2,2,0
-1,-2,0,0,0,0,0,-1,0
6,-3,-5,-3,-2,-1,0,1,0
1,0,-2,1,-1,-1,-1,1,0
-4,-2,2,-1,-1,-1,-1,-1,0
2,-1,-1,-1,0,-1,-1,0,0
-1,-2,-1,-2,-1,-1,-2,0,0
-1,2,0,0,-1,-1,-2,-3,0
-1,-5,-2,-2,0,0,0,-1,0
-1,2,-1,1,-3,-2,-1,0,0
1,-2,0,-1,-1,0,-1,-1,0
-2,1,-1,0,0,-1,-2,-1,0
-4,-2,3,2,0,-2,0,-2,0
-1,-2,0,-2,0,1,-1,-2,0
-1,0,-1,-1,-1,0,0,-1,0
-1,0,-1,-1,-1,0,-1,0,0
2,1,-3,0,-2,-2,-3,-1,0
-6,-3,4,0,0,-1,1,-1,0
-2,-1,0,0,0,0,-1,-2,0
0,-1,0,-3,-1,-1,0,0,0
0,1,0,-1,-1,-3,-1,0,0
0,-2,-3,-2,0,0,-2,-2,0
-2,-2,-1,-1,0,1,-2,1,0
2,-2,-4,-2,-1,0,1,0,0
-4,-5,-2,-1,1,0,1,-2,0
0,1,-1,-1,-1,-1,-2,0,0
0,-2,-1,2,0,0,-1,-1,0
-1,-2,-1,-1,1,-1,-1,0,0
0,0,0,-1,-1,-1,-2,-1,0
1,-1,-1,0,0,-2,-1,-2,0
1,3,-4,0,-1,-2,-1,-2,0
-3,-1,1,1,-2,-1,0,0,0
1,1,-1,-2,-1,-1,0,0,0
-1,-1,0,-1,0,0,0,1,0
0,-3,-1,-1,1,-1,0,-1,0
-2,7,3,-1,0,-1,-1,-1,0
-4,7,2,1,-2,0,1,-1,0
-1,-1,-1,-2,-1,0,-2,-2,0
1,-1,-1,-1,1,-2,0,-2,0
-3,-1,-1,1,-1,0,-2,-1,0
2,-3,-1,-2,-1,0,0,-1,0
0,-1,-2,0,-2,-1,0,-2,0
-1,0,0,-1,1,0,0,0,0
1,-4,-1,-1,0,-1,-2,-2,0
-4,0,-1,-1,-1,-1,-1,0,0
1,0,-2,-1,-1,-2,-1,-1,0
-2,-2,1,0,-2,-2,0,-1,0
5,0,-2,-3,0,0,1,0,0
0,-1,-2,1,-1,-1,0,-1,0
-2,2,0,0,0,0,-3,-1,0
-2,-1,0,0,-1,-1,-1,0,0
-1,-6,-3,-2,-1,-2,-2,-1,0
3,-2,-2,0,-2,-1,-1,1,0
-4,-3,0,-2,-1,1,0,0,0
3,1,-3,-1,-1,-1,0,-2,0
-3,6,2,-1,-2,-2,1,-1,0
-1,-3,-1,-2,0,1,-1,-1,0
2,0,-2,-1,-1,-1,-1,-1,0
-3,-1,-1,-1,-2,1,0,-1,0
-2,-2,0,0,-2,0,0,-1,0
-3,0,1,2,1,1,0,-1,0
0,3,1,0,0,-1,0,1,0
-2,-1,0,-2,-1,1,-1,1,0
-2,-2,1,0,0,-1,-2,-2,0
1,0,-2,-3,-3,-1,-2,-1,0
4,-1,-5,-3,0,0,0,-1,0
0,0,-2,-1,-1,-1,-1,0,0
-1,-2,-1,1,0,-1,1,-2,0
-5,5,3,1,1,0,-1,-1,0
0,1,-1,0,-2,-1,-2,0,0
2,-2,1,0,-2,-1,1,0,0
-1,0,-2,-1,-2,0,-1,0,0
1,-1,-1,1,1,-1,0,0,0
-1,0,0,0,0,1,-1,-1,0
-3,1,2,-1,-2,-1,-1,0,0
-4,-1,2,1,-1,0,0,-1,0
-2,-2,-2,-2,-1,-1,0,-2,0
1,-2,-1,0,-2,-1,0,-1,0
0,-1,-2,-1,-1,-1,0,0,0
1,-2,-1,-1,1,0,-1,-1,0
2,-1,-5,-2,-2,1,-1,-1,0
-3,-1,1,-1,-1,-1,-1,-1,0
-2,-3,-1,0,1,-1,0,0,0
0,-6,-4,0,-2,-1,-1,0,0
1,0,-1,0,0,1,0,0,0
0,-3,-1,-1,-1,-1,-1,0,0
-1,0,0,-2,0,-1,0,-3,0
-1,0,-2,-2,-1,-1,0,-1,0
1,-1,-1,-2,-1,-1,-1,0,0
-1,0,1,-2,-2,-1,0,0,0
0,-2,-1,-2,0,1,-2,-1,0
-1,0,1,-1,0,0,-1,-1,0
0,-2,0,0,-1,0,-3,-1,0
-2,-1,0,0,0,-1,0,-2,0
-1,0,0,0,0,-2,0,-1,0
1,-1,-1,-1,-2,-2,0,-2,0
1,-1,-1,-2,-1,-1,-2,0,0
0,-2,-2,-2,-2,1,-2,0,0
1,0,-3,-1,-2,1,-2,0,0
5,0,-5,0,0,0,0,0,0
-1,6,0,1,1,-2,1,-1,0
-2,-2,-2,1,0,-1,0,-2,0
-3,0,0,0,-1,-2,1,-2,0
0,-2,-1,-2,-2,-1,-2,1,0
2,-3,-3,-3,-3,0,0,0,0
2,1,-1,0,0,-2,0,-1,0
1,1,-2,0,-1,0,1,0,0
-1,0,1,0,1,0,0,0,0
0,-1,-1,1,-1,-1,0,-1,0
-1,-2,-1,-1,-1,1,0,1,0
0,-1,0,-2,-1,-1,-1,0,0
-1,2,0,-1,-1,-2,-1,-1,0
-3,-3,0,0,-1,-2,-1,0,0
1,-1,-2,0,1,-1,0,-1,0
-2,-2,3,1,-2,-1,0,-1,0
-2,-2,1,1,0,1,-2,0,0
0,-1,-1,0,-2,-1,-2,0,0
-2,0,0,0,0,-1,0,1,0
-1,0,-2,-1,-2,-1,-1,-2,0
-4,-1,1,0,0,-1,2,-1,0
2,-9,-4,-1,-1,0,-1,-1,0
1,-4,-4,-2,-1,-2,-1,-1,0
0,1,-2,-1,1,1,0,1,0
-2,0,1,-2,-1,0,0,-1,0
-1,-3,-1,0,0,0,0,-1,0
-1,-2,0,-3,-1,-1,0,0,0
-9,1,2,1,-1,-2,-3,-1,0
4,-2,-2,-2,-1,0,0,0,0
-4,0,2,-2,0,-1,-1,0,0
1,3,0,-2,-2,0,0,1,0
-1,-1,-2,-2,-1,-2,1,-1,0
-2,-1,-1,1,-1,0,-1,-1,0
-1,2,0,0,-3,0,0,-2,0
-1,-1,1,0,-2,-1,0,-1,0
1,-3,-1,-2,0,0,-1,-1,0
-3,0,-2,0,-2,0,0,0,0
0,1,-1,-2,0,-1,-1,0,0
0,-6,-5,-1,0,-1,0,0,0
0,-1,0,0,-2,0,1,-1,0
4,-1,-5,-3,-2,-1,-2,-1,0
-4,5,3,0,-1,0,-1,-2,0
-2,0,1,-1,1,0,0,-2,0
-3,-6,2,1,0,0,1,0,0
1,0,-1,0,-1,-2,0,-1,0
-1,-4,-1,-1,0,1,1,2,0
0,2,0,0,0,1,-1,-1,0
7,1,-5,-2,-1,-1,-2,0,0
-2,1,2,-1,0,0,0,-1,0
-2,-1,-1,-1,0,-2,0,-1,0
-2,1,1,1,0,0,-1,-1,0
2,-1,-3,-2,-2,-1,-2,0,0
-2,0,-1,-1,1,-1,0,0,0
-1,0,0,-1,0,-2,0,-1,0
2,1,-1,-1,0,-1,-1,-1,0
-2,0,-2,-2,0,0,1,0,0
-4,-1,1,-1,0,-2,-2,-3,0
-1,7,3,0,-1,1,1,-2,0
-2,1,-1,-2,-1,-1,-2,-2,0
-2,-1,1,0,0,0,-2,-2,0
-2,-1,1,-1,0,0,0,0,0
-1,-4,-3,-1,0,-2,-2,-2,0
-5,-5,0,0,-1,0,0,-2,0
0,1,-1,-1,0,0,-2,-1,0
2,-2,-2,0,-1,0,0,-2,0
1,-2,-1,-1,0,-2,0,-1,0
0,2,0,0,-1,-1,-1,-1,0
-2,-2,1,1,0,-1,-1,0,0
-2,-2,2,0,-1,-2,1,0,0
1,0,-2,-1,-2,-1,-2,-2,0
0,1,-1,-1,-2,-2,0,0,0
-1,-4,-2,-2,0,-1,1,-1,0
-1,-1,-1,0,-2,1,-2,1,0
-2,-2,-1,0,-1,-1,-1,0,0
0,1,-1,-1,-1,-1,-1,1,0
-1,-1,-1,0,1,0,-1,-2,0
-2,1,0,1,-1,-1,0,-2,0
0,-2,-3,-1,0,-1,-1,-1,0
5,-2,-5,0,0,0,0,0,0
-3,-3,2,1,0,-1,-1,-1,0
-2,0,-1,0,0,0,0,0,0
4,-1,-2,-1,-2,0,-1,1,0
-1,5,1,0,0,1,-1,0,0
1,0,-2,-1,-2,-2,-1,-1,0
-3,-3,1,0,2,0,0,-1,0
-2,-4,-1,1,0,-1,-1,0,0
-3,-7,-1,0,-2,-1,1,-3,0
-4,3,3,-1,-1,0,1,-1,0
-1,2,-2,-2,-1,0,-1,-1,0
0,-2,-1,-1,0,-2,0,-2,0
-2,-3,-1,-2,-2,-2,-1,-2,0
0,0,-1,-1,0,-2,-2,-2,0
1,-1,0,-2,-2,-2,1,-1,0
0,1,0,-2,-1,0,1,2,0
0,0,0,1,-2,0,1,0,0
1,-2,-2,-1,0,0,-1,-2,0
0,0,-1,-1,-1,-2,0,0,0
-2,-1,-1,-1,0,1,-1,-1,0
0,0,0,0,0,0,0,-1,0
0,1,-3,-1,-3,0,0,1,0
-2,-3,0,0,0,-1,-1,-1,0
-1,1,-1,-1,-2,-2,1,-3,0
1,0,-1,-2,-2,-2,-1,0,0
2,-16,-6,-1,-1,-1,-1,1,0
-6,-1,1,-1,1,0,-1,-4,0
0,-1,-1,-1,-1,-1,-2,-1,0
0,0,0,-1,1,1,0,1,0
2,-1,-2,-2,-3,1,-1,1,0
2,1,-1,1,-1,-1,0,-1,0
0,-1,1,1,-2,-1,-1,-3,0
-1,-2,1,1,0,0,0,-2,0
-2,3,1,0,0,0,1,-2,0
0,-1,-3,0,-1,-3,-3,2,0
-1,2,-1,-2,1,1,0,0,0
1,0,0,1,-1,0,0,1,0
-2,1,0,-2,1,-2,0,-1,0
0,-1,-1,-1,-1,-1,1,-2,0
1,-7,-8,-3,-3,0,-1,-1,0
-2,1,-1,-2,1,0,-1,-2,0
-5,0,2,0,1,1,0,-1,0
2,-2,-3,0,-1,-1,1,1,0
0,-1,-1,0,2,-1,0,-1,0
-3,-2,-2,-1,-1,0,-3,-1,0
-1,1,0,-1,0,-2,0,0,0
3,1,-3,-1,-1,-1,1,1,0
-8,7,6,3,1,0,-1,-1,0
0,0,-2,-3,-2,-1,-2,0,0
1,-1,-1,2,1,1,-1,-3,0
0,-1,1,-2,-1,-1,-1,-2,0
0,-1,-1,-1,-1,0,-1,1,0
-2,0,-1,0,-1,-2,-1,1,0
-1,-2,-1,0,-1,-1,-1,0,0
0,6,3,0,0,1,1,0,0
1,1,0,0,-2,1,1,1,0
-1,-3,2,-1,1,0,0,-1,0
2,-1,-3,-1,-2,-2,1,0,0
1,-2,-1,-2,0,-1,-3,-1,0
-1,-2,0,0,0,0,-1,0,0
-1,2,1,0,1,-1,0,-3,0
-1,2,1,-2,-3,-3,-2,0,0
2,-2,-1,-1,0,-2,-1,0,0
0,-1,-3,-2,-1,0,-2,-1,0
-4,-2,8,2,0,0,0,0,0
-2,0,-10,-3,1,-2,1,-1,0
-1,-2,-1,-2,-1,0,2,-1,0
-5,3,1,-1,-1,0,-2,-2,0
2,-1,-1,0,-2,-1,-1,1,0
0,1,4,2,-2,-1,0,0,0
-3,-1,0,0,1,-1,-2,-1,0
0,-2,-2,0,-1,-3,-1,-2,0
0,-1,-2,0,1,0,-2,-3,0
-2,2,0,0,0,-1,-1,0,0
2,-2,-6,-2,-2,-1,-1,0,0
1,-2,0,-3,0,1,-1,-1,0
0,-2,-2,-2,-2,-1,0,-1,0
1,0,0,-1,-3,0,-1,0,0
-2,-1,0,1,0,-2,-1,0,0
2,-1,-1,0,0,-2,1,0,0
-1,-1,-5,-2,-1,0,1,0,0
-1,-1,0,-2,0,1,-1,0,0
-1,0,5,1,0,1,-2,-1,0
-3,6,-2,-1,-1,0,0,-2,0
2,-2,-3,-1,0,-1,-1,-1,0
3,1,2,-2,-1,-1,0,-1,0
-3,8,3,0,-1,-1,1,-1,0
0,-4,0,1,1,1,-1,-1,0
2,1,-4,-2,0,-1,-3,0,0
0,0,0,-1,-3,0,-2,1,0
0,-3,0,0,-1,-1,-3,-2,0
1,-3,-2,-1,-1,-1,0,-1,0
-3,3,-2,-1,-1,-2,0,-1,0
-6,-2,2,1,1,0,0,-2,0
0,-1,-4,-1,0,0,-1,0,0
0,-1,-1,-1,-3,-1,-2,-1,0
3,-5,-2,-1,-1,-2,0,1,0
-4,-2,1,2,0,-1,0,1,0
-3,-2,-1,-1,-2,-2,0,-2,0
-1,1,-1,-1,0,-1,-1,0,0
-2,-1,2,0,0,0,0,-1,0
-1,-1,-2,0,1,-1,-1,-1,0
-1,-1,-1,-2,-1,-2,1,0,0
0,-4,-1,-1,-2,-1,-2,1,0
-2,1,2,0,-1,0,-2,-1,0
2,0,-3,-1,-1,2,0,-1,0
-1,-1,1,0,-1,2,-1,-1,0
0,-1,1,-1,1,-1,-1,-1,0
-1,0,-1,-1,0,-1,0,-1,0
1,1,-1,0,-2,-1,0,-2,0
-1,-13,-3,0,0,-1,-2,0,0
1,-2,0,-1,-2,-1,0,1,0
-1,3,2,-2,0,0,0,-1,0
-3,-3,-5,-1,0,1,1,0,0
1,0,1,-2,-1,0,-1,0,0
1,2,-1,0,0,-1,2,0,0
-2,-2,1,0,0,-1,0,-1,0
1,-1,-2,-1,-1,0,0,0,0
0,3,-2,-1,0,-1,1,-1,0
0,-3,-3,-1,0,-1,1,-2,0
1,1,0,-1,-2,0,-2,-2,0
-1,-1,-1,0,0,-2,-3,0,0
-1,0,-2,-1,0,-1,0,0,0
-1,-2,1,0,0,0,0,-1,0
-2,-2,-2,0,-1,-2,-1,-2,0
-1,0,1,-1,0,-2,0,0,0
1,2,-3,-2,-2,-1,-3,0,0
1,-2,-1,0,0,0,1,-1,0
-2,-1,0,0,-2,-1,-2,0,0
-2,-2,0,-1,-2,-2,0,0,0
1,2,0,0,-1,0,0,-2,0
-3,7,2,-2,-1,0,-1,-2,0
-1,-2,0,0,1,0,-1,-2,0
1,0,0,-2,-1,-2,-3,-2,0
-2,-2,0,-1,-1,0,1,2,0
-2,-3,0,0,0,0,-2,0,0
-1,-2,-1,-1,-2,1,0,-2,0
1,0,-1,-1,1,1,0,0,0
-2,-1,1,0,0,0,-3,0,0
-2,-3,-2,-1,0,0,-1,0,0
-1,0,-1,0,-1,-1,-1,0,0
-3,-3,-2,-1,0,-1,-1,-3,0
-1,-1,0,-2,-1,0,-1,-3,0
-13,-9,6,4,1,-1,-1,-1,0
1,0,-3,-1,-1,-1,-1,0,0
0,-9,-2,-2,-2,-2,0,0,0
-3,-4,2,0,0,-1,1,-2,0
2,-1,-3,-2,-2,-1,-1,1,0
0,-2,-2,-1,-1,0,1,-1,0
0,-1,0,-1,-1,-1,-1,-1,0
1,-3,-1,-2,-1,-1,0,-2,0
3,2,-1,-1,-1,-3,-1,0,0
-2,-2,-1,0,-1,-2,0,1,0
2,1,-1,-1,-1,0,-2,1,0
-3,-1,0,1,-1,-1,0,-2,0
2,3,-4,-2,-2,-2,-1,1,0
-2,0,1,0,-1,0,-2,0,0
-1,-1,0,-1,-1,0,-2,0,0
-1,0,-1,0,-1,-1,-2,1,0
1,-2,-2,-2,-2,1,-1,-2,0
1,-2,-2,-2,-1,-1,-2,-2,0
1,-1,-1,0,-1,0,1,0,0
0,-1,-2,-2,0,0,-1,0,0
0,0,-3,-1,-1,-1,-1,0,0
-2,-2,0,-1,-1,-2,-2,1,0
-3,-1,-1,-1,-1,-2,-1,-1,0
1,5,-1,-1,-2,-1,-2,1,0
1,0,0,0,-2,-1,-1,-1,0
-1,-2,1,-1,-1,1,-2,-3,0
-6,-6,3,2,-1,1,1,-1,0
3,-1,-2,-2,-1,-1,-2,-2,0
-1,-2,0,-2,0,0,-1,-2,0
6,1,-4,-1,0,0,0,1,0
-2,3,-2,0,0,-2,-1,-1,0
-1,-2,-3,-2,-1,0,2,-1,0
-1,-1,0,1,1,0,-1,0,0
0,-3,-1,0,0,-1,0,-1,0
1,2,-2,-2,-2,-1,-1,-1,0
-1,-2,0,1,-1,0,1,0,0
2,-2,-1,-2,-2,1,-1,-1,0
-1,-1,1,-1,-2,0,1,-1,0
-2,1,1,1,-2,0,-1,0,0
-2,1,-1,0,0,-1,-2,-1,0
-2,-4,-3,-4,-1,0,1,-1,0
-4,0,-2,1,0,-2,-1,0,0
0,-2,1,-2,1,1,0,-2,0
1,0,-2,0,0,-1,1,-1,0
-5,-1,1,1,0,0,-1,-1,0
1,-1,-1,-1,-1,-2,1,-1,0
0,1,-1,0,-3,-2,0,0,0
-1,-4,-1,1,0,1,0,-2,0
2,3,-3,-2,-1,-1,-1,0,0
-3,2,0,0,-3,1,-1,0,0
0,1,0,0,2,2,0,-1,0
-1,0,-1,-1,-2,0,1,0,0
-1,1,-2,-1,-1,-1,0,-2,0
0,-1,0,0,-2,0,0,-1,0
1,-2,-2,-2,-1,-1,-1,0,0
-1,2,-2,1,-1,0,0,0,0
0,0,-3,0,0,-2,0,-1,0
-1,-2,-1,-2,0,-1,0,-1,0
1,-5,-3,0,-1,-1,0,-2,0
-4,0,4,0,1,0,-2,-2,0
-1,-1,0,-1,-1,-1,0,0,0
0,-2,-2,0,0,1,-1,-2,0
2,0,-1,-2,0,0,-1,-1,0
0,-2,-3,-2,-2,-1,-2,0,0
2,1,0,0,-2,-2,-1,-1,0
-1,-1,-3,-2,-2,-1,0,0,0
-3,0,0,0,-2,-1,0,0,0
4,-3,-4,0,-1,0,-1,1,0
-8,-1,4,2,0,0,-1,-1,0
1,1,0,-1,0,0,0,0,0
0,2,0,-1,-1,0,0,0,0
1,0,0,-2,0,0,-1,0,0
2,-1,-2,0,-2,0,0,-1,0
-3,0,-1,-1,-1,-1,0,-2,0
-6,-6,3,1,1,0,-1,0,0
-1,-1,-2,-1,-2,-1,-1,-1,0
1,-1,-2,-3,-1,1,-2,-1,0
0,-3,-2,0,0,-1,-1,-1,0
-3,6,2,-1,-2,-1,0,0,0
-6,-2,3,-2,-2,-2,-1,-2,0
0,-1,-2,0,-4,-1,0,-1,0
2,-2,-2,-3,0,-1,-2,0,0
-1,0,-2,-1,-3,-1,-1,-1,0
-1,-1,-1,-2,0,-2,-1,-1,0
0,2,1,0,0,0,-1,0,0
-2,2,0,1,0,-1,1,-1,0
2,0,-2,-2,-2,0,-1,0,0
1,1,-1,-1,-2,0,-1,0,0
-1,-3,-2,-2,-1,-1,0,0,0
-2,0,0,0,-1,-2,-1,-1,0
0,-2,1,-1,-1,-1,-1,-3,0
-2,-2,-1,1,0,0,1,-2,0
0,0,-1,0,1,0,0,-1,0
