-1,3,4,2,4,2,-1,0,0
0,0,-1,1,2,-1,0,0,0
-3,-3,-2,-3,-3,-1,-1,-2,0
-2,-2,-4,1,10,2,2,0,0
-2,4,2,-1,-1,-4,-2,2,0
-1,0,0,-4,-4,0,-1,1,0
-2,0,3,6,3,-1,-1,-1,0
0,-1,1,4,2,0,-2,-1,0
-1,-3,-2,1,-3,-3,-2,-1,0
-1,-3,-5,-2,-1,-1,-2,-2,0
-2,0,1,-2,6,5,3,1,0
1,4,-3,-3,-2,0,-3,0,0
-1,-2,3,2,2,-2,-1,-1,0
0,2,2,-3,-5,-3,-1,-1,0
-1,-1,1,-3,-3,-1,0,-2,0
-2,-5,-5,2,0,-1,-2,-3,0
-1,-1,0,0,6,4,1,0,0
-1,-7,-2,-4,-4,-1,-1,0,0
-1,4,0,6,-5,-4,-1,0,0
-2,-8,-1,-2,-1,0,1,-1,0
2,5,-1,-1,-3,-4,-1,0,0
1,-1,-4,0,5,4,0,2,0
0,-4,3,-3,-4,0,-2,-1,0
-2,-1,1,-3,-7,-4,-3,0,0
-3,-6,-3,-6,-5,-1,1,-3,0
-2,-3,1,7,0,0,-1,-2,0
0,2,-4,1,0,2,0,0,0
0,-1,2,3,7,3,1,2,0
-1,-5,-7,-2,-1,1,-2,-1,0
0,3,2,-7,-7,-4,0,-2,0
0,6,5,0,-3,-4,-2,0,0
0,-5,1,3,2,0,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,0
-2,-1,-6,-4,0,0,-1,0,0
-2,-7,-3,-3,-1,-3,-1,2,0
0,4,2,-4,0,0,0,-1,0
1,0,5,3,1,0,-1,1,0
0,-1,-2,8,9,3,0,0,0
1,0,-3,-2,0,0,-2,0,0
-2,-3,-5,-3,-4,-5,-2,-1,0
-1,-5,-3,-1,1,0,0,0,0
0,1,2,-2,-3,-2,0,-1,0
-1,-4,-2,-5,-2,-1,-1,-1,0
0,3,-2,1,-3,-3,1,-1,0
-1,2,1,1,2,0,-1,0,0
-1,-3,2,1,0,0,-1,0,0
0,-2,-5,2,4,0,-1,-1,0
-1,-1,-1,-6,-6,-2,-2,-1,0
2,2,0,3,3,2,1,1,0
0,0,0,-3,-2,-3,1,-1,0
-1,-3,-1,1,-5,-2,0,-1,0
1,2,3,3,4,1,-1,-1,0
-3,-1,-3,-4,-7,-3,0,-1,0
-2,-2,0,-3,-3,-2,1,1,0
0,-1,-1,1,6,6,4,-2,0
1,1,2,-1,0,-1,2,-2,0
-2,-4,-3,-6,-2,-1,-2,-2,0
0,-1,-3,3,2,-1,-1,0,0
1,8,7,-2,-3,-3,-2,0,0
0,-4,-5,1,1,2,1,1,0
1,-2,-3,-3,-1,1,-1,-1,0
-1,-3,1,-1,-3,-4,0,-2,0
-1,1,-5,2,4,2,1,0,0
-2,-2,0,0,-3,-1,-2,-1,0
-1,1,-1,2,1,-1,-1,0,0
0,-4,-1,-6,-4,-1,-3,0,0
0,-1,-3,-3,-6,-3,-2,0,0
0,2,2,-2,-5,-2,-1,-2,0
0,-2,1,2,2,3,0,1,0
-2,1,0,1,-1,-1,-1,-1,0
-1,-3,-2,-4,-5,-2,-2,-3,0
-2,2,-2,-3,2,-1,-2,0,0
-1,-5,1,0,-1,-2,0,-1,0
0,0,-2,1,3,1,-1,0,0
0,-2,-1,-4,-5,-3,-1,2,0
0,-4,-2,-2,-5,-1,-2,-1,0
-1,1,-1,-1,-3,-2,0,-1,0
-1,2,1,2,2,1,1,1,0
-2,-2,-1,-9,-4,-2,-3,-1,0
-2,-2,-1,6,-4,-1,-1,-2,0
0,1,1,-1,0,-1,-2,-2,0
0,-2,-1,0,-2,1,-1,-3,0
-1,-5,-3,-2,-2,-1,0,-1,0
-1,-1,0,-6,-5,-1,-1,0,0
-1,-1,-3,1,-4,-2,-1,-1,0
1,0,1,1,3,3,1,-1,0
0,0,1,3,-1,-1,1,0,0
-1,-1,4,-1,1,0,-2,-1,0
0,0,-6,1,-3,-1,-1,-1,0
-1,1,4,-3,-1,-5,-3,0,0
0,-5,-4,1,3,1,0,1,0
0,2,-2,-1,1,0,0,1,0
0,2,7,-2,-4,-2,-3,1,0
-2,0,-2,3,-2,-1,-2,-2,0
-1,1,1,5,9,6,1,-2,0
-1,1,-1,2,4,0,-1,-2,0
0,-1,-6,-5,-1,0,0,-1,0
0,-3,-4,-7,-6,-2,0,-3,0
-1,-1,0,-1,-9,-6,-1,-2,0
1,1,3,4,14,5,1,1,0
0,-2,0,0,0,1,-1,-1,0
1,0,0,0,-1,0,0,0,0
-3,1,-5,-1,-1,-2,-1,-1,0
0,-3,-1,-4,-7,-2,-2,-1,0
-1,1,-2,-1,1,-1,-2,-2,0
-2,-3,1,0,0,-1,0,-2,0
0,2,3,3,-1,-1,-1,-2,0
-1,-2,-1,-2,-4,-1,-2,0,0
-2,-1,0,-4,2,2,1,0,0
0,-1,-4,-1,-3,-2,-1,-1,0
0,0,2,-1,3,3,0,-1,0
-2,-2,2,2,-2,-4,-1,-1,0
-1,-1,-3,3,2,1,-1,-1,0
-3,0,-2,-2,-1,1,-1,0,0
-2,-1,2,-3,-2,0,-1,0,0
1,0,-5,-4,-2,-3,-1,1,0
0,-1,0,-2,-6,-5,0,-2,0
0,0,-2,-3,-7,-3,-1,-2,0
-1,0,0,3,3,2,0,1,0
0,-3,-4,1,1,1,0,0,0
-2,1,0,4,5,0,1,0,0
1,1,-1,-2,-1,2,-1,0,0
-1,-3,-2,-2,-6,-5,-2,0,0
-1,-2,-1,1,3,1,0,0,0
-1,0,2,1,1,0,-1,0,0
-2,0,1,2,1,-1,0,1,0
-2,-3,-2,-4,-5,-3,-2,-2,0
0,-1,0,-3,-2,-2,-2,-3,0
-1,-2,-2,-2,-2,0,-1,-1,0
-3,-1,-3,3,2,1,-1,1,0
-1,1,4,-4,0,-1,-1,1,0
0,-1,-2,-1,-7,-3,-1,-1,0
0,-2,0,-1,0,-2,0,0,0
-1,-1,-3,-2,2,1,1,-1,0
-1,-1,0,-3,10,4,1,2,0
-1,-1,1,-1,-6,-3,-1,-1,0
1,0,-1,6,7,1,3,0,0
1,-1,-5,0,3,0,-1,-1,0
0,2,7,1,-5,-2,-2,-1,0
-1,-4,-11,-7,-3,-2,0,-2,0
-2,-2,-2,-3,-4,-4,-3,-2,0
-1,0,8,0,-1,-2,-1,1,0
2,1,11,3,2,0,-3,0,0
-1,-2,-6,-2,-2,-1,-2,1,0
1,0,-10,-4,-5,0,-2,0,0
1,1,0,-2,-4,2,0,0,0
-1,0,-4,6,10,3,3,-1,0
-1,-1,6,2,0,-1,-1,-2,0
-2,-2,-2,-1,-1,0,0,0,0
-2,-2,-3,-1,-4,-1,0,-1,0
0,-2,0,-1,-5,-2,-2,-1,0
-2,-1,-2,0,-2,-2,1,-1,0
0,-2,-4,-4,-5,-2,-3,0,0
0,0,1,3,8,1,0,1,0
-3,-3,-5,0,-3,-3,1,-1,0
-1,2,0,0,4,0,-2,-1,0
-2,0,1,-6,-9,-7,-2,0,0
-3,-2,-2,-2,3,2,-2,-1,0
-2,-1,0,5,-1,0,-2,-2,0
-1,-2,-1,-3,-3,2,-1,-2,0
1,-1,2,4,3,4,-1,-1,0
-1,-1,-5,-6,-5,-5,-1,-1,0
2,0,-8,-7,-4,-2,0,-2,0
-2,1,2,2,-2,-1,0,0,0
-1,0,0,3,3,-1,0,-1,0
0,0,3,3,4,2,1,-1,0
-1,-3,-4,-4,-3,-1,-2,-2,0
-1,0,0,0,-1,-1,3,1,0
-1,-3,-3,-1,3,0,1,-1,0
-2,-3,-2,-2,-4,-3,-2,-2,0
2,2,1,-2,-5,-2,0,0,0
-1,-2,1,1,1,-1,-1,-2,0
-1,1,-1,-3,-9,-4,-1,-2,0
2,-1,3,9,14,5,2,-1,0
-2,-3,-4,-3,-1,0,-1,-1,0
0,0,-5,0,1,-1,-2,-2,0
-1,-1,5,-4,-6,-3,0,0,0
0,-1,4,-2,0,-1,0,0,0
-1,1,-1,4,3,2,-1,0,0
-2,1,3,-7,-1,-1,-2,0,0
-2,1,-2,3,1,0,0,-2,0
-1,0,-5,-2,-3,-2,-1,-1,0
0,-1,0,3,1,-1,-1,-2,0
0,-2,-1,2,3,3,2,2,0
-1,-2,0,-3,-1,-2,-1,0,0
