-4,2,1,0,-1,2,-2,-2,0
0,-4,-1,1,3,-3,-1,-1,0
-1,-1,0,-1,1,-2,-2,-2,0
-2,-4,2,0,0,-2,-5,-2,0
9,1,-2,1,-2,1,3,5,0
-7,-6,0,-3,-1,-2,-1,-5,0
-4,1,0,-4,-11,0,0,-1,0
1,3,0,13,13,-4,2,-1,0
-4,-3,0,-23,-17,-1,-3,1,0
5,2,-4,8,16,4,0,2,0
7,0,5,10,8,1,-5,4,0
-9,-1,-2,-7,-9,2,3,-8,0
-3,-2,-2,2,3,-3,-1,0,0
0,1,-1,-19,-21,-2,-4,-3,0
-3,0,-4,-4,0,1,-1,2,0
2,-2,2,2,7,-4,-2,3,0
-3,-3,1,-2,-8,1,0,2,0
3,0,-2,3,2,0,-2,-9,0
-6,1,-3,1,2,-2,0,1,0
1,-3,-1,-1,-2,-1,-4,0,0
-1,-1,-1,4,2,1,4,0,0
1,4,4,5,3,2,2,3,0
1,-4,1,-3,2,-3,-1,-2,0
-8,-2,-4,-8,-7,2,-3,-4,0
4,3,2,6,3,-2,0,-3,0
1,1,1,3,3,-1,0,-1,0
-3,-2,-5,-9,-6,-2,0,-3,0
2,0,-1,-1,-2,-2,-2,0,0
-1,-3,0,6,3,3,2,2,0
1,1,0,0,0,-1,-1,2,0
1,3,-2,-3,-4,-1,0,-6,0
-2,-2,1,1,-2,0,1,0,0
1,3,-1,4,5,-4,0,2,0
0,0,0,-8,-4,1,-2,-2,0
-1,1,0,-1,1,0,-3,2,0
2,0,-2,1,-1,1,1,-3,0
3,1,-1,-3,-3,-1,-1,1,0
-4,-3,2,-2,0,-1,1,-2,0
-1,-2,-2,3,2,4,3,-1,0
1,-1,2,0,-4,1,0,-1,0
-2,-2,2,1,3,2,-1,-2,0
-1,-5,-2,-1,1,-3,2,-2,0
3,2,2,-1,-2,-1,-4,4,0
1,0,-1,-4,1,2,2,3,0
-4,-1,-3,0,-3,-1,-1,-5,0
2,-1,1,1,-1,1,-1,0,0
-1,3,-1,-4,-4,-3,1,-1,0
-4,-2,-1,7,1,-3,-4,1,0
15,6,0,-4,-2,-3,-2,1,0
-10,-2,-1,0,1,2,1,-3,0
-2,-4,-2,-2,-2,-1,-1,-1,0
-4,0,-2,1,-2,-5,0,-3,0
-1,-1,4,6,4,3,2,3,0
2,0,-2,-1,0,-3,-2,-1,0
1,-2,1,0,0,1,-2,-2,0
-4,2,-3,-2,-1,-2,-3,1,0
3,2,-2,-5,-5,-4,-3,3,0
-1,-2,-2,1,1,2,-3,2,0
0,-1,-1,2,0,0,0,-3,0
0,-3,-2,-1,-1,-2,0,-1,0
-3,1,-1,-1,-1,-3,-6,-4,0
0,-3,-1,-1,-2,4,0,-1,0
-2,2,0,-4,-2,1,-3,0,0
1,-3,-2,1,0,1,-1,0,0
-2,-5,-2,-2,1,-2,1,-4,0
-1,0,0,0,-1,-1,0,-5,0
1,-2,1,2,0,-2,0,5,0
-2,1,0,1,0,-4,2,-8,0
-5,-2,-2,0,-1,2,2,-2,0
-2,2,0,0,-1,-3,-2,-1,0
-6,-1,-2,-3,-3,1,4,-2,0
0,-2,0,-3,0,-3,-2,-1,0
-1,-2,0,3,0,1,0,-1,0
0,-3,-1,-5,-2,3,-1,-1,0
2,1,0,1,2,2,-2,1,0
-2,-1,-2,2,0,4,-2,3,0
1,-1,0,-1,2,-4,-2,-1,0
0,0,-2,-3,-4,-2,4,2,0
-3,2,0,-1,1,-2,0,-4,0
2,-2,-1,-4,0,-1,-1,-2,0
-1,-1,-1,1,-1,4,-3,-3,0
1,0,5,2,1,-2,0,0,0
-1,4,-3,-1,-1,0,2,-5,0
0,0,-2,1,-1,-4,2,1,0
-1,-2,-2,-4,-1,1,2,1,0
-3,-2,-2,-4,-1,1,0,-3,0
3,1,2,-1,0,-3,0,1,0
0,-2,-1,1,-1,-2,-1,2,0
1,-2,2,-1,-2,-7,0,3,0
1,1,-1,-1,3,-1,-2,3,0
-2,-4,-2,-1,-2,0,-2,1,0
2,5,0,-3,-5,-13,-1,1,0
1,-3,1,-1,1,1,1,0,0
0,-1,0,-3,0,-5,2,-4,0
-4,-3,0,0,-5,-1,-1,0,0
0,0,0,-1,-3,1,-1,0,0
-5,-1,-1,-1,-2,-2,1,-7,0
4,1,-2,-2,1,2,-4,2,0
-1,0,-2,0,-4,-3,-2,-6,0
-2,1,0,2,-5,0,2,-7,0
1,5,1,-2,-1,1,2,-2,0
-1,-2,-1,1,3,2,-4,-1,0
-3,-1,-2,-2,3,-6,2,1,0
-1,-2,-1,2,3,3,-2,1,0
-1,0,1,-2,-3,0,-3,-1,0
2,1,0,0,-1,2,0,-2,0
-5,-2,2,-2,1,2,-1,-8,0
0,-3,0,3,0,6,-1,3,0
0,4,-2,-2,-1,1,4,1,0
-3,-3,-1,-3,-1,-1,-1,-6,0
-1,-1,-3,-1,-2,-2,-1,0,0
0,-1,0,5,5,4,1,2,0
2,-2,0,0,0,0,-5,-4,0
0,0,2,-3,-1,0,0,1,0
2,1,2,-2,1,0,-2,9,0
-8,-5,-2,0,-1,-4,-1,-8,0
10,5,-4,-2,0,0,-1,4,0
-2,0,-2,-5,-2,-3,1,-2,0
-4,-5,-3,1,0,-1,0,3,0
0,-3,0,-2,0,-4,-4,-3,0
-4,-4,-1,1,0,0,1,-4,0
0,-1,-2,0,0,2,-1,2,0
1,1,-2,-1,0,-1,1,-1,0
-4,-1,0,-1,-2,0,-1,-6,0
0,-2,0,2,0,0,-2,-3,0
9,6,0,-1,-1,-1,1,0,0
-4,-4,-4,0,0,1,-4,-1,0
2,3,-2,3,1,-2,2,2,0
-2,-3,-2,-2,-1,0,-2,-2,0
-3,-2,-1,-2,2,-2,0,-1,0
2,4,-1,3,-3,-1,-3,-2,0
1,0,0,-1,-4,2,5,2,0
0,-3,0,-4,0,3,-1,-2,0
-3,-1,2,2,0,3,-2,1,0
-3,-3,-1,-2,-1,-4,-5,-2,0
0,-1,-1,-1,-2,2,-3,-1,0
-2,-3,1,-1,-1,-1,1,-1,0
0,-2,-1,0,-2,-2,-1,0,0
0,-1,-3,-1,0,1,0,1,0
-1,1,-1,4,3,-4,-3,-5,0
-4,-3,-1,-1,-3,-1,-3,0,0
-3,0,1,0,3,-2,-2,1,0
-3,0,0,-1,-3,-2,0,-1,0
1,0,-3,-1,-1,3,-4,1,0
0,-1,-1,0,0,0,1,-3,0
-3,0,-3,-1,-3,0,-4,-1,0
1,0,2,-3,2,0,-1,-3,0
0,0,-1,-4,3,-2,-2,2,0
2,-1,2,2,-3,-1,-1,0,0
-2,-1,-2,-3,-1,-1,1,-1,0
-2,-1,0,0,0,1,1,-3,0
-1,-3,-6,-4,-1,-1,-2,-4,0
0,-2,-1,-1,1,-1,1,-3,0
0,0,1,0,-1,1,-1,2,0
1,2,-1,-1,0,-4,0,0,0
-1,-4,0,-1,-3,-2,2,2,0
1,2,2,1,-1,-1,-4,3,0
1,-1,-1,-2,-1,-3,-1,1,0
-2,0,-2,0,-5,2,-2,-3,0
0,0,-1,0,1,0,-1,4,0
3,0,-2,-1,0,1,2,3,0
0,-1,1,-1,-1,2,0,1,0
2,-2,0,1,-1,-2,-1,1,0
-1,1,2,0,0,-1,-1,0,0
1,4,0,1,-1,-1,1,-4,0
-2,-1,-1,-1,1,-2,1,-3,0
1,-2,-2,-1,0,0,2,-4,0
-1,-1,-1,-2,-3,-4,-6,-5,0
-3,-1,-2,-5,-1,-2,3,1,0
0,2,-2,-1,1,-2,2,-2,0
1,-1,1,0,-1,-2,-2,4,0
1,0,-2,2,-2,-3,-1,4,0
1,-5,-4,1,0,-1,-3,-5,0
3,-1,-1,-5,-1,0,2,3,0
0,0,0,2,3,0,-3,3,0
0,-3,1,-1,-7,-2,3,0,0
0,-2,1,-1,1,1,1,-2,0
-1,-1,-3,-1,-5,1,-4,-1,0
-3,-4,-4,1,3,8,1,-1,0
-1,0,0,-1,1,-3,-2,1,0
-1,1,-2,-3,-2,1,1,-1,0
-1,-4,0,-3,-2,-2,-1,-2,0
0,1,-2,-2,1,-2,-2,-1,0
-2,-4,-2,3,2,-1,2,-1,0
1,0,-1,0,-3,-4,0,2,0
1,-2,-1,-2,-2,-3,1,-1,0
-5,3,-2,-3,-5,-5,-3,0,0
2,-2,0,-2,-3,-3,-1,0,0
-4,-1,0,-2,2,0,-2,-1,0
-2,0,-1,-4,-4,1,-7,1,0
0,-4,1,3,2,-2,-1,0,0
0,0,1,0,-1,4,-2,-2,0
1,1,0,-2,-4,-3,-1,3,0
2,0,2,1,0,-2,2,0,0
0,-3,-1,0,-3,-2,1,-4,0
-3,0,-2,0,-1,0,2,0,0
0,-3,0,-1,-1,-1,0,-1,0
-2,-1,0,1,1,-1,-1,-2,0
1,0,-1,-1,-3,-2,-1,-1,0
-2,2,-2,-1,0,2,0,-4,0
-1,1,2,-1,5,1,-3,-3,0
0,-3,-2,-1,-1,-1,1,-3,0
-5,2,-4,-3,-3,-2,-6,0,0
-4,0,-3,2,0,-3,-1,-1,0
3,-1,0,-4,-4,0,-1,0,0
-3,2,1,3,6,-1,-2,2,0
-1,2,-1,-2,-7,1,-1,-2,0
1,-2,-2,4,7,0,-2,0,0
1,-2,0,-1,-5,-3,-3,1,0
-2,0,1,-1,-1,-1,0,-1,0
-5,-2,-3,-2,-4,-3,0,-3,0
0,0,1,-2,-1,1,-3,-1,0
-4,-1,-3,-1,-2,-2,1,-1,0
0,0,-2,1,-1,-1,-7,-4,0
2,-3,-4,1,0,-3,0,1,0
-2,-2,0,-2,-1,1,-2,0,0
-1,1,1,-2,0,0,0,-1,0
0,-1,-2,0,-2,0,-1,1,0
-1,-2,1,2,0,-2,2,-2,0
2,0,-2,0,-3,-8,2,0,0
0,-1,3,1,-2,-1,-3,-1,0
-3,-2,0,-1,1,-1,-2,-3,0
0,-1,-1,1,0,2,0,-1,0
-1,0,1,-3,1,-1,-3,1,0
-1,1,-1,0,-1,-2,1,-1,0
0,-3,0,3,2,-3,-1,-2,0
-2,0,-2,-2,-2,-1,-4,0,0
-2,-2,-1,1,0,0,1,0,0
-2,-1,0,-1,0,0,1,2,0
1,-3,0,-3,-3,2,-1,0,0
-3,0,-1,2,4,-2,-2,-1,0
-1,1,0,-3,-4,-1,-2,-1,0
-1,-3,-3,-4,-1,3,3,-3,0
-2,1,-1,-2,-3,-3,2,2,0
0,-5,3,2,0,0,-2,0,0
4,-1,-1,1,-1,0,1,-2,0
0,0,-1,-1,3,1,-1,-4,0
-2,-1,-3,-5,-4,-3,4,-4,0
-2,1,-2,1,-1,3,0,-3,0
3,1,0,-2,-2,-3,-2,0,0
1,0,1,-2,0,4,-4,1,0
-2,-1,-3,3,6,3,0,1,0
-1,1,-2,-3,1,-6,0,2,0
-4,-4,0,0,-3,-1,-2,-3,0
4,5,0,1,-1,-1,-1,1,0
-2,-5,-2,-4,-3,0,0,-2,0
-2,-1,2,3,0,2,-2,-5,0
0,3,-1,-2,-2,-2,0,0,0
4,-2,1,0,-3,0,0,-4,0
0,1,-1,-3,0,-1,-2,3,0
-2,-2,-2,1,2,3,1,0,0
0,2,0,0,-2,-2,4,-2,0
-1,-2,-3,-1,-1,-2,-3,1,0
-1,2,-3,0,-3,1,-1,1,0
0,-3,-2,-1,-2,0,0,-2,0
-2,-2,-3,0,-1,-1,-1,-5,0
-3,-3,-1,1,1,-3,1,-1,0
1,0,2,-5,-1,-1,-1,1,0
-2,-1,-2,-4,-6,-9,-4,2,0
1,0,-1,0,2,3,1,3,0
2,-1,0,3,-2,-3,2,3,0
-2,-3,0,-4,-2,3,1,-5,0
-5,1,0,2,-2,4,0,2,0
0,-2,0,0,0,-1,-3,0,0
-2,-2,-2,-2,0,-1,-3,0,0
2,4,2,1,1,-2,-3,-7,0
1,-2,0,2,-1,1,3,0,0
-2,-3,-1,0,-3,-2,0,1,0
-4,-4,-2,-1,-1,0,0,-5,0
-2,-1,-1,-1,-1,2,0,2,0
-1,3,-2,6,3,0,1,-2,0
2,-2,1,-2,-2,-2,-2,2,0
1,1,1,1,0,1,0,-5,0
1,4,0,-3,-4,-5,0,1,0
-2,0,-1,-3,0,-5,-4,1,0
-2,-2,2,2,1,0,2,-2,0
0,-2,0,-2,1,0,0,-1,0
-4,-1,3,-1,0,-1,-1,0,0
-3,-2,-4,-1,-4,-3,-2,-2,0
0,3,-1,1,-1,1,-3,-3,0
2,-2,-2,-4,-4,-3,2,1,0
0,-1,-3,1,2,-1,-1,2,0
-2,-3,1,1,0,-1,0,-2,0
-2,1,-2,2,-1,-2,-2,1,0
-3,-4,0,-3,0,0,-4,-1,0
2,1,0,0,-3,-1,-2,-1,0
2,-2,-5,-4,-2,0,-1,4,0
3,2,2,-1,0,-3,0,-2,0
-9,-11,-5,-3,-1,1,1,-3,0
-2,1,-1,-1,2,0,-4,-2,0
3,-1,0,0,-2,-5,-1,0,0
1,-2,-1,-1,-2,0,-2,4,0
5,2,2,7,-1,-8,0,8,0
2,2,-1,4,6,0,-1,0,0
-4,0,-2,-3,-2,6,3,-4,0
2,0,1,2,3,-4,-4,0,0
3,1,2,-2,-4,0,0,0,0
-3,-6,0,-2,-5,-3,0,0,0
-2,-1,-3,1,-1,0,-3,-1,0
-1,-2,-1,-1,-1,-1,5,-3,0
0,1,-1,-5,-6,-1,1,2,0
-1,-1,-2,1,2,0,1,-1,0
-1,1,-1,-3,0,-1,-3,0,0
-1,-3,-2,-1,-1,3,-1,-3,0
-3,0,1,-2,3,0,-4,2,0
-4,-5,-3,-5,-2,0,2,0,0
-2,-1,-1,-2,-1,0,-3,-2,0
0,0,-3,0,-2,-2,-3,1,0
-1,0,0,-2,-1,-6,1,-7,0
-4,0,0,-2,-1,-1,-2,-4,0
1,-1,2,-1,1,0,0,1,0
-5,2,-2,1,-1,2,3,-8,0
3,0,-4,0,-2,-1,-4,1,0
0,-3,1,-2,0,1,-3,1,0
-3,2,-1,4,2,-2,1,1,0
1,-3,1,-2,2,1,-1,1,0
-1,0,0,2,-1,0,1,0,0
3,3,-2,3,-3,0,1,-3,0
-5,-2,-1,2,-1,0,-1,2,0
-2,-1,-2,4,3,1,-1,2,0
1,-1,-2,-2,1,4,2,-3,0
-3,-2,-3,-1,3,-1,0,0,0
2,1,0,-2,-6,0,-2,-2,0
1,0,-1,-1,-4,-1,1,-3,0
-3,-1,-1,-5,1,1,0,-1,0
1,-2,1,-4,-1,0,-2,-2,0
0,-3,1,-2,1,-4,3,0,0
-4,-1,0,0,-3,-5,-3,0,0
0,0,0,-3,0,2,1,-3,0
1,1,1,1,-2,4,-4,-1,0
-4,-3,-1,2,-1,-3,-1,0,0
-1,-4,-2,-3,-4,2,-1,5,0
-2,-2,0,-3,-1,-1,2,0,0
-1,-2,-4,-3,-2,-4,-2,1,0
1,-3,2,-1,-1,1,-1,-1,0
1,1,1,2,-2,-2,-1,-1,0
-2,4,0,-2,-3,3,1,-1,0
-1,-3,1,-1,3,0,1,-2,0
0,1,-4,1,0,2,-1,1,0
2,1,2,-1,0,-4,0,-3,0
0,1,-2,-2,-1,1,0,2,0
-3,0,1,-1,0,-2,-1,0,0
-1,-1,-3,-1,0,3,-2,-5,0
1,-3,-1,-1,1,5,-3,2,0
0,0,-1,-4,-10,-4,2,0,0
2,2,3,0,-1,0,-2,2,0
-5,-2,-2,1,3,0,-3,-3,0
-3,0,-1,0,-1,0,-1,1,0
-2,-1,-1,-1,0,-1,-1,-3,0
1,-2,-2,0,1,4,3,-2,0
-2,-1,0,-4,-6,-3,0,-2,0
2,1,0,-3,-1,-2,1,0,0
-1,-3,-2,-1,-5,-4,0,0,0
-1,-1,-2,-1,0,-2,-4,2,0
0,0,0,2,-1,-3,0,1,0
-1,-2,-4,3,0,0,-1,0,0
1,0,0,-2,0,2,-4,-4,0
-1,0,1,-2,0,-2,0,-2,0
0,-1,-1,1,-1,-3,-2,-3,0
2,2,0,0,-2,-1,-1,-1,0
3,-2,1,2,2,0,-2,6,0
-3,-2,0,1,-2,0,0,5,0
-2,-2,-2,1,-1,0,-4,3,0
2,0,-1,-2,-1,-3,3,0,0
-2,-1,-3,-1,0,-1,-2,-2,0
-5,1,1,-1,-1,-2,-4,-1,0
0,-3,1,-2,-6,0,1,2,0
-3,0,-2,3,1,-3,-4,1,0
3,2,0,5,4,2,0,0,0
-2,-2,-3,-3,1,-3,-1,-3,0
-1,-2,0,-3,-4,-2,1,-2,0
-2,2,-1,2,3,-1,-3,0,0
-1,0,0,-3,-1,0,-4,-4,0
0,-1,-1,-1,-1,-1,-3,2,0
-2,-4,-1,0,-3,-1,3,-2,0
-1,-2,1,2,2,3,-2,0,0
1,1,-3,-2,-2,-1,-3,-2,0
-3,0,-1,-1,-2,-1,3,0,0
2,0,-2,1,-1,-1,0,-1,0
-3,-1,-3,1,0,1,-1,-1,0
3,-1,1,-4,-2,1,1,2,0
-1,-1,-3,-4,1,2,1,-1,0
-2,-2,0,-1,-4,-1,-2,-1,0
0,-4,2,-4,-4,2,2,-4,0
0,1,0,-3,5,-2,-2,-3,0
-1,-3,-2,4,4,0,-2,0,0
0,1,0,-2,0,2,0,3,0
-2,-2,-2,0,-2,-3,0,-3,0
-2,1,-1,6,4,2,1,-3,0
0,0,0,-3,-3,-1,1,-1,0
0,0,-3,3,1,-2,-1,1,0
1,-2,-2,-4,-1,-1,-3,-3,0
-2,-2,-1,0,-1,-2,-1,-1,0
-6,-3,2,2,2,1,-1,1,0
2,3,1,1,-2,-4,-3,-1,0
0,0,1,2,-1,4,0,-1,0
-1,-3,-2,-5,1,4,2,-2,0
0,-2,-1,-3,-4,-1,-1,0,0
-7,-4,0,-2,-5,-5,-4,-3,0
-1,1,0,2,1,2,3,0,0
-1,-2,-1,-3,-4,-3,0,0,0
2,0,3,1,-1,-2,0,0,0
0,0,1,8,6,0,1,-1,0
-1,0,0,-6,-3,-3,-3,-2,0
-1,-2,-1,-3,-2,-3,0,1,0
2,0,-3,2,3,-2,-1,2,0
-1,-2,-3,-3,-5,-4,2,0,0
2,-3,-2,0,-4,-1,1,0,0
-3,-3,0,-4,-3,1,0,-3,0
0,-2,-1,-1,1,0,0,1,0
0,2,-4,-1,1,-1,0,0,0
-2,0,-4,-1,-1,-4,-5,1,0
3,2,0,-2,0,2,-3,1,0
-1,-2,-2,2,-2,-1,-2,-1,0
-1,-4,-1,1,0,6,-2,-2,0
1,0,-1,-3,-2,2,1,3,0
-2,-2,-2,-3,-4,0,2,-1,0
-3,4,-1,3,2,2,-3,1,0
1,1,-3,-2,0,-3,-4,-1,0
-1,-2,0,-1,0,0,-2,0,0
2,-1,-1,-2,-5,0,0,1,0
0,1,-1,4,6,-2,2,3,0
-2,-2,-2,-3,-1,0,-3,1,0
-1,-3,-1,-2,0,-2,2,-2,0
1,-1,0,-1,-2,-6,-3,-5,0
-5,-5,-4,-5,0,-1,1,-2,0
4,6,2,4,-1,-1,2,0,0
-2,-7,1,0,-4,-8,-4,-1,0
0,-1,-1,-5,-1,-2,0,-1,0
-2,-2,-2,-1,-5,-2,-2,-2,0
-3,-4,-3,-2,2,-1,1,3,0
2,0,0,0,0,0,3,-2,0
-4,0,2,-2,0,1,-1,1,0
-1,-1,0,-1,-2,-1,-2,-1,0
-3,-3,0,0,-4,-5,-1,-1,0
-1,4,-1,0,-3,-1,-1,0,0
-4,-4,-3,4,2,-1,0,2,0
1,0,-1,-7,-5,2,0,-1,0
-3,0,0,2,2,1,-1,-5,0
1,0,0,1,3,0,-3,3,0
2,0,1,-1,-2,6,-2,4,0
0,-1,0,-3,-2,0,-1,1,0
-3,-1,1,-1,-6,-3,-1,-2,0
-2,3,-1,-1,3,0,0,-4,0
0,1,-3,-5,-1,-3,0,-3,0
-1,0,-1,3,4,0,-4,2,0
-2,-2,-2,-2,-4,-5,-2,-5,0
2,-1,1,2,3,0,0,2,0
-3,4,0,-1,2,-2,-1,-4,0
0,0,0,0,-1,2,-4,-1,0
5,-4,0,-4,1,-2,2,-1,0
3,1,-1,0,-1,3,1,1,0
-2,-1,0,-1,3,0,-1,-1,0
2,0,1,-3,-7,-4,-2,3,0
-4,1,-3,3,0,0,-7,3,0
1,-4,1,-2,-3,2,2,-1,0
4,-2,-1,-2,-3,1,0,0,0
-4,2,-2,0,-3,-3,0,0,0
0,-1,-1,0,3,-1,2,-1,0
-2,2,-1,-3,-4,-2,-1,1,0
-2,-1,-2,-1,-2,-2,0,-3,0
0,-4,-1,4,4,-4,-2,-1,0
3,3,0,3,1,2,1,-2,0
-4,0,-1,0,1,-3,-1,-6,0
-1,-2,-1,-5,0,3,3,-1,0
1,0,-3,-2,-4,-1,-3,2,0
1,-2,-1,-1,-2,5,-1,0,0
-1,0,0,-2,0,-5,1,-4,0
-1,0,1,-2,-1,-6,0,0,0
0,1,-1,-1,-3,-2,3,-3,0
-3,0,1,-1,2,-2,-1,4,0
-1,-4,-1,0,-2,4,0,0,0
-1,1,0,-2,-3,-1,0,-1,0
-2,1,-1,1,1,0,0,-8,0
-1,0,-2,3,-2,1,-3,0,0
-1,-2,-1,-1,-3,1,-2,1,0
1,2,2,4,8,4,-1,1,0
-1,-2,-1,-3,-2,0,0,-5,0
0,-1,1,-1,-5,0,1,-1,0
-1,-2,-2,0,1,0,-1,2,0
-1,0,-2,-1,-3,-2,0,1,0
-1,0,0,-2,0,1,-1,-1,0
1,0,-2,3,6,-2,-4,-3,0
-4,-1,2,-1,-3,-1,0,-3,0
3,4,-1,-2,0,-4,-1,0,0
-2,-3,-1,-5,-3,-2,0,-1,0
0,-1,0,-4,-3,-4,-4,1,0
2,-1,0,2,2,-2,-2,-2,0
1,1,-3,-3,-3,-3,0,-4,0
-3,-4,0,1,-1,3,0,-3,0
-6,-1,-2,-1,-2,-2,-1,-2,0
0,2,-2,0,0,0,-1,2,0
-4,-6,0,-1,-1,-2,-2,-2,0
1,2,1,0,-2,2,-2,0,0
1,1,-1,2,-1,5,-1,1,0
2,-1,-1,-3,1,-1,1,1,0
-2,-2,0,1,-4,-3,0,-1,0
-4,1,-2,0,5,0,-4,0,0
0,-1,2,-1,-2,-3,-1,0,0
-1,4,1,-2,-4,1,-1,-3,0
-3,-1,1,-1,3,1,-1,-2,0
-1,-1,-1,-2,-3,-2,-3,3,0
0,1,-2,0,4,0,-2,-3,0
0,-2,-2,-4,1,-1,-1,-2,0
0,-2,-2,-1,-5,-3,-5,2,0
-1,-1,1,-2,0,-2,1,0,0
-1,-2,0,-1,-2,-4,0,-5,0
-2,-3,-3,2,0,3,0,1,0
3,0,0,-4,-1,-1,-4,-1,0
-2,-1,0,1,-1,-3,1,1,0
3,1,0,-4,-2,-1,-1,1,0
-1,-2,1,-3,0,-1,-2,-4,0
-2,-2,-3,0,1,4,0,-1,0
-2,1,-1,6,1,1,-1,0,0
-2,0,-1,3,3,0,1,2,0
-2,-1,0,0,-8,-1,-3,-2,0
-2,0,-2,-4,-1,0,-1,0,0
-2,-2,-2,-3,-2,-3,-1,4,0
-1,-1,0,4,0,-3,-1,2,0
1,0,-2,-3,1,0,-4,1,0
0,-2,-2,-3,-4,-2,0,0,0
-2,1,-2,0,1,0,0,-2,0
-2,-3,-2,-2,-4,0,-1,-2,0
0,0,0,1,6,-3,0,2,0
-1,0,1,0,-1,-5,0,0,0
1,-1,2,0,-1,-1,0,3,0
-4,1,-4,-4,1,0,0,3,0
0,0,-2,-1,-3,-3,-2,-2,0
0,1,-1,6,3,-2,2,-2,0
-2,-4,-1,3,0,1,4,-1,0
-1,-1,3,-2,-3,-4,2,-1,0
-2,0,1,0,0,1,0,2,0
3,2,-2,-3,4,2,-3,-1,0
-1,-2,0,-2,-6,0,-2,-4,0
1,-3,-1,0,4,-2,0,2,0
0,-1,1,-2,-3,-3,-2,-1,0
-1,-3,2,4,-1,-3,0,-2,0
-2,0,0,-2,1,0,-2,-2,0
0,2,-2,1,-1,-1,-1,-3,0
0,2,0,0,0,0,1,1,0
-3,-3,0,-2,0,1,-3,2,0
1,2,-1,-2,-3,-1,2,-1,0
-1,-3,-2,-1,-3,-2,-1,-6,0
2,1,-2,-1,5,1,0,-5,0
1,-1,-1,0,-3,-2,-2,-2,0
-1,-1,0,-2,-1,-2,0,0,0
0,-4,1,-7,-5,-7,-1,-4,0
-1,-3,2,0,-2,-1,1,1,0
-2,-3,-2,-3,1,-1,-2,-3,0
-1,2,-3,-2,-2,0,0,-3,0
2,-1,2,6,0,4,1,-1,0
-2,-1,-2,-3,1,-2,1,-4,0
0,-1,2,-3,-1,0,0,-2,0
2,-3,-2,0,-3,-2,-2,2,0
-1,0,-2,4,-2,2,-1,1,0
-2,-5,2,3,1,1,-2,-2,0
2,3,0,0,-2,-1,-1,2,0
-6,-4,-3,-3,-2,1,-3,-4,0
1,0,1,2,1,2,0,1,0
0,-2,-1,-1,2,1,1,-3,0
-1,-1,0,-1,-6,0,-1,-2,0
-2,2,-1,-2,-4,-4,-3,0,0
-3,-1,0,-1,4,-2,-1,-1,0
0,0,0,-1,3,2,-2,-3,0
1,0,-1,2,-3,-2,-3,4,0
-1,0,-2,0,2,3,2,1,0
-2,-4,0,-3,-5,-2,-4,-7,0
1,-1,0,-3,-2,1,1,0,0
0,0,2,1,0,1,0,2,0
3,1,1,1,3,-6,-3,-2,0
