0,0,0,-1,-5,-5,-4,-1,0
-2,-1,0,-2,-4,-5,-2,0,0
2,0,-2,0,-2,0,2,0,0
-2,0,0,-5,-2,-4,-1,0,0
-1,1,2,2,0,-1,0,-3,0
-1,-2,0,0,1,-1,0,1,0
1,-1,-1,0,-3,-1,1,-1,0
-1,-3,-2,1,0,3,-4,-1,0
0,0,0,0,0,-1,2,-1,0
0,1,-1,-1,-4,1,0,-1,0
0,-1,-1,-3,5,-4,0,-1,0
1,-1,-1,0,0,6,1,-2,0
-1,-2,-4,-3,-5,-3,-2,0,0
1,0,0,0,1,-1,2,-1,0
0,2,1,0,1,2,2,1,0
-2,0,2,0,0,-2,0,-1,0
1,-1,-1,-2,-4,-2,0,0,0
-2,-1,-1,-3,-4,-3,0,-3,0
-1,-3,0,-2,-1,0,-3,-1,0
1,-1,0,0,1,3,0,2,0
0,1,0,5,8,6,2,0,0
0,0,1,3,0,0,1,0,0
1,0,-1,-2,-4,-2,1,0,0
1,-1,-3,-3,-4,-4,-2,-1,0
0,0,2,-3,-8,-5,-3,-2,0
-2,0,1,-2,3,-1,-2,0,0
0,1,1,3,8,5,0,-1,0
1,1,0,1,-3,0,2,2,0
-3,-3,-3,-3,-2,-5,1,-2,0
-1,0,-1,-1,-4,-1,-1,-1,0
-5,-1,1,-3,-7,-3,-1,-2,0
0,0,1,0,2,-2,0,-1,0
3,1,1,3,1,2,0,-1,0
2,0,-2,-1,2,0,-1,-2,0
-1,-1,-5,0,-1,0,-3,0,0
-2,-2,0,1,3,-4,0,-1,0
0,0,-1,0,1,1,0,2,0
-1,-2,0,-2,-4,-1,0,-1,0
0,-1,-1,-1,-3,-2,-2,-1,0
-3,1,-1,-1,-2,1,0,-2,0
-1,-1,1,1,6,0,-2,-1,0
-1,0,-1,2,3,-4,0,1,0
-1,-1,-3,-3,-1,5,0,1,0
-3,-2,2,0,0,-4,-1,-1,0
-1,-1,-2,-2,-6,-6,-1,-1,0
-1,-1,-2,-4,-2,0,2,-1,0
-1,-4,0,-1,0,-4,-3,0,0
1,-2,0,-2,5,2,0,-1,0
-1,0,2,2,1,3,0,0,0
0,2,-1,0,-2,-3,-3,0,0
-2,-2,-3,-1,-4,-2,-3,0,0
0,1,-2,1,-2,1,-1,-2,0
-2,0,-1,0,-1,-1,0,0,0
1,0,2,0,3,3,1,1,0
1,1,0,-2,-1,-2,1,-3,0
-2,-5,-4,-3,-3,-3,-1,-1,0
0,0,1,1,-1,-1,0,1,0
0,-3,-1,3,-1,1,-1,-2,0
0,2,0,-1,2,0,1,1,0
2,0,-2,0,-5,-2,0,-3,0
-2,1,-1,-2,-2,1,-3,1,0
0,-2,0,2,3,1,-1,-2,0
-1,-1,-1,-1,-6,-1,-1,-2,0
-2,0,-2,-4,2,-5,-4,-3,0
-2,-1,-1,0,-4,0,1,-1,0
-2,1,1,1,4,4,2,-2,0
-1,0,1,2,1,4,0,2,0
-1,0,-1,-1,-5,-1,-3,1,0
-1,-3,-2,0,2,-2,-1,-2,0
1,-2,0,-2,-2,-4,-1,-2,0
-1,-3,0,-1,1,-1,2,0,0
0,0,-1,0,-2,-1,-1,2,0
3,1,-1,0,-2,-3,0,-1,0
-1,-1,-5,-3,1,-3,1,1,0
0,-2,0,2,1,6,2,1,0
0,3,-1,5,5,5,1,-1,0
-1,1,-3,-2,-5,-7,-1,0,0
2,-3,0,-3,-3,3,-1,1,0
-3,-5,-2,-4,-4,-7,-2,-2,0
-1,-2,1,-2,-3,-2,0,-1,0
-2,1,-1,2,-1,-1,0,-3,0
-2,-3,-2,-2,-4,-6,-2,1,0
2,0,0,-1,-2,2,0,0,0
-1,0,2,0,1,2,2,0,0
-4,-1,0,0,-3,-2,-2,-2,0
1,0,1,2,8,1,-1,1,0
-1,1,0,1,2,5,-1,-1,0
1,2,-2,-2,-4,1,1,1,0
1,-2,0,-6,-2,-2,1,-1,0
-1,-3,-1,-3,-5,0,-3,-1,0
0,-3,-3,-1,1,-4,-1,1,0
-1,0,-1,-2,-2,-1,-1,-2,0
0,1,1,2,4,5,-1,0,0
-1,0,-1,0,-1,1,1,0,0
1,1,2,1,-1,-3,0,0,0
-3,0,-4,0,1,-2,-2,1,0
-3,-1,0,0,-2,-2,0,-1,0
0,-1,-2,-2,-3,-2,0,1,0
0,-1,-2,0,0,4,-1,-1,0
1,-2,1,3,5,-1,0,-1,0
2,-2,1,-2,-3,-2,-1,0,0
-2,-2,-1,-1,-1,2,-3,1,0
-4,-3,-2,-4,-3,-3,-2,-2,0
-1,-1,0,-2,-1,-5,0,0,0
1,-1,-2,0,6,8,1,0,0
-1,0,0,0,1,-1,1,-1,0
1,-1,-1,0,0,0,0,-1,0
0,0,-3,-3,-2,0,0,-3,0
0,-1,1,2,-5,-8,0,0,0
0,-3,0,-4,-2,6,2,0,0
-2,0,0,1,2,-2,-3,1,0
0,1,-1,-3,-3,-2,0,-2,0
-3,-2,-1,-1,1,-6,-1,1,0
-2,-2,1,0,-1,4,-2,-2,0
0,2,0,-1,2,3,2,0,0
2,1,0,0,2,0,-1,0,0
0,1,-2,-2,-3,-1,-1,-1,0
-2,-2,-1,-2,-5,-7,-2,-3,0
-1,-3,-1,-2,1,3,-1,-2,0
-1,2,2,4,-1,-1,-1,1,0
0,-1,-3,-1,1,1,-1,0,0
1,-3,-2,-3,-2,0,-2,1,0
1,-1,2,-1,-3,-4,-2,-2,0
-1,-1,0,2,3,3,0,0,0
-1,0,-1,-1,1,1,1,-2,0
0,-1,0,-1,-3,-3,0,-1,0
-1,-2,-2,-1,-3,-6,-2,-1,0
-1,-1,0,-1,1,-1,0,-1,0
-1,0,-1,-2,1,2,-1,1,0
-1,-2,-4,-2,-1,3,0,-1,0
0,-1,1,-3,1,3,0,-1,0
-1,2,-2,4,-9,-8,-4,-1,0
-2,0,0,0,7,3,0,-2,0
-1,2,-1,-1,1,0,0,0,0
-1,-2,-1,-4,-7,-4,-1,0,0
-1,-1,-2,-5,-2,-1,1,0,0
-1,-1,-1,-1,-5,-2,-1,-2,0
-1,-2,-1,1,1,0,-2,-1,0
1,-1,1,1,2,-3,0,1,0
0,-2,0,2,-2,2,1,-1,0
1,1,-1,-2,-4,-1,-1,-1,0
-1,-3,-1,-4,4,1,-1,1,0
0,1,-3,0,-6,0,0,0,0
-2,-3,1,-2,-2,-2,-3,-2,0
3,3,0,3,4,1,1,-1,0
1,1,-1,1,-3,3,-1,2,0
-4,2,-1,2,-5,-1,2,-1,0
-2,-2,0,-1,2,-6,-3,-1,0
-1,-1,-2,-4,4,5,-1,0,0
0,1,-2,-4,0,-1,1,0,0
-1,-5,-2,-1,3,-1,-1,-3,0
-2,1,-1,-2,-8,-4,1,-2,0
0,-2,-1,2,-3,-6,-1,0,0
0,-2,0,-1,-4,-3,1,0,0
1,-1,-1,1,1,1,1,-1,0
-1,-1,-1,0,-1,3,-1,-4,0
-2,0,0,1,3,0,-1,0,0
-1,0,-1,0,-2,0,-1,1,0
0,2,0,-1,3,-1,-1,0,0
0,2,1,-1,3,1,1,0,0
-2,-1,-1,-1,-8,-2,0,-2,0
0,-3,0,1,3,4,0,-3,0
-1,-1,0,-1,-3,6,-1,-1,0
1,2,-1,0,4,-7,0,0,0
-3,-2,-2,-4,-10,-5,-1,1,0
0,-2,0,-2,-5,-5,0,-1,0
1,-2,-1,0,2,-1,-1,0,0
-1,-1,-1,1,1,5,3,-2,0
1,-2,0,0,0,-1,0,-2,0
-3,-3,-1,-1,-1,4,-2,0,0
1,1,-1,2,5,1,2,2,0
1,2,0,1,1,1,-1,-2,0
-2,-1,-2,-3,-3,1,-2,1,0
-1,-4,-3,-4,-7,-12,-2,-1,0
-2,-4,2,-4,-2,7,-1,0,0
0,2,0,1,-1,2,-2,-1,0
-1,1,-1,3,6,-2,0,-2,0
0,-3,1,1,-2,0,0,2,0
-1,-1,-3,-1,-1,-7,0,-1,0
-1,-1,-4,-4,-2,-7,-3,0,0
0,0,1,-1,-1,2,1,-1,0
1,1,0,4,5,1,-1,0,0
-1,-2,-3,-2,0,5,-2,-2,0
-1,-1,0,-1,-5,-5,-3,0,0
-1,-2,-2,-1,-1,-5,-1,-2,0
-1,-2,0,1,0,2,0,-2,0
-1,3,-1,0,4,0,0,2,0
-1,2,1,0,0,1,0,-1,0
0,1,-2,-1,-3,-5,-1,-1,0
-1,-1,-1,0,-1,-3,-2,0,0
0,-4,-1,0,-4,2,-4,-1,0
-1,-2,-1,-1,-4,-2,-1,-1,0
0,1,0,0,4,2,2,-1,0
0,0,-1,0,10,8,2,-1,0
0,0,-3,0,-5,-1,-1,-2,0
-1,-2,-2,1,-4,-5,-1,-1,0
-1,-2,-1,-4,-7,-7,-4,1,0
-1,-2,0,-4,0,-2,-1,-1,0
-1,-3,-1,-2,-1,1,-1,-1,0
0,1,1,1,6,4,0,-2,0
3,2,3,4,5,3,-1,1,0
-1,-3,-6,-3,-3,2,0,-1,0
0,-2,0,-4,-5,-5,-4,1,0
0,1,-1,-2,-1,-1,0,1,0
-4,-2,0,-4,-5,-4,-1,-3,0
-1,-1,0,2,-2,6,2,0,0
-1,-2,-1,0,7,-1,3,2,0
-1,1,0,1,-2,0,1,-1,0
-3,-1,-6,0,-5,-4,-4,-2,0
-1,-2,0,-2,-1,1,-2,0,0
-1,-2,-2,0,-4,1,1,-1,0
-1,-1,0,0,3,-5,-2,0,0
2,4,0,2,2,-1,4,-3,0
-1,0,-2,-3,-4,-6,-1,1,0
-1,-2,-2,0,5,13,-2,0,0
-1,-2,0,-2,0,-5,-2,0,0
-2,-2,-3,-3,-6,-3,-1,-1,0
1,-1,-1,-1,-2,-4,-1,1,0
-1,0,2,0,4,4,3,0,0
-2,0,-3,0,-1,-5,0,-2,0
0,-1,0,-1,-5,2,-1,-3,0
-1,-2,0,-1,5,1,-2,0,0
0,0,-1,1,-4,-6,-1,0,0
-2,0,-2,-2,-7,1,-1,0,0
-4,-1,1,3,7,0,1,-1,0
1,2,0,-1,-4,3,-2,-1,0
0,-2,0,-3,-4,-8,-2,0,0
2,-2,0,1,-1,4,2,-3,0
-1,2,0,-2,-1,-3,0,1,0
-2,0,-1,-1,-2,-2,-1,0,0
-1,-3,-2,-3,-3,-1,-2,0,0
-1,-1,0,2,2,-3,0,-1,0
-2,0,0,2,3,9,-1,-2,0
-2,-1,-1,1,1,-2,1,0,0
0,1,-2,-3,-3,-6,-3,-1,0
-2,-1,0,-1,-2,-4,-1,0,0
1,-1,-1,-5,1,2,0,1,0
-1,-1,-2,-2,-2,-5,1,-2,0
1,-5,-3,0,1,7,0,0,0
0,3,1,8,5,4,4,1,0
0,-1,-2,1,0,-2,-1,1,0
1,0,2,1,1,7,-3,0,0
-2,-4,-1,-5,-6,-7,-2,-1,0
0,-3,-1,-2,-7,-3,-1,0,0
-1,2,0,0,0,-7,1,-2,0
-2,-1,0,1,0,5,1,0,0
-1,-1,1,3,9,4,-2,0,0
-1,-1,-1,-4,-6,-6,1,0,0
1,4,2,-1,-4,-7,-1,0,0
1,-2,-3,-1,0,-1,-1,-1,0
3,2,0,2,4,5,0,1,0
-2,2,-4,-1,1,0,0,-5,0
-1,0,-1,-1,-6,-7,-4,-1,0
-3,-4,1,-2,-1,1,0,-2,0
-1,-2,-2,-3,-4,3,1,-1,0
-1,0,0,-2,2,-4,-1,1,0
-3,1,0,0,-1,4,0,-1,0
0,0,-1,-2,5,-1,-1,0,0
-2,-3,1,-1,-1,1,-1,-1,0
-2,-2,0,-2,-4,-1,-2,-1,0
0,-2,-3,-2,-4,-6,-2,-2,0
-1,-2,-1,-3,-6,-2,1,1,0
3,-2,1,0,5,5,2,1,0
0,2,0,0,5,5,-3,-1,0
-2,0,2,3,-3,0,0,1,0
-3,-1,-1,-2,-3,-4,-2,0,0
-2,-1,0,-3,-4,-5,1,-3,0
-3,-5,-4,-1,-1,6,-1,-2,0
-2,0,1,3,6,-8,0,1,0
0,2,-1,1,1,8,-1,1,0
0,-3,-3,-4,-8,-6,-4,2,0
0,-1,0,-1,1,1,2,-2,0
-5,0,0,0,2,4,1,1,0
-1,-1,-3,-1,-3,-2,0,0,0
0,-2,2,-2,-2,-4,-2,-1,0
1,-2,0,2,4,-1,-2,1,0
1,0,0,2,3,6,-1,-1,0
0,1,1,-1,1,-1,-2,0,0
-1,-2,-2,-1,-2,0,-2,0,0
0,1,-2,-1,-4,-8,-1,-2,0
-1,1,-1,-2,-3,-6,-1,-5,0
1,-2,-2,-1,2,5,0,1,0
-1,-3,-2,2,-1,0,0,0,0
-1,1,2,-1,5,12,2,2,0
0,1,2,3,-3,-8,-1,-1,0
0,-1,-3,-3,-1,0,1,1,0
-2,-3,-3,-3,0,-3,-1,0,0
1,2,0,-1,-2,-1,-2,-1,0
-2,0,-1,-1,-2,1,1,-3,0
0,-2,1,-2,-1,0,0,-2,0
-2,-1,-1,-1,-2,0,-2,0,0
-3,-2,-1,0,-4,-5,-2,-1,0
0,2,-1,2,2,2,0,1,0
-1,-3,-2,-2,0,-7,-2,0,0
3,-1,1,-1,3,4,3,0,0
0,2,1,5,1,2,-1,-1,0
0,1,-2,-1,-1,-1,-4,1,0
-2,-2,-3,-3,-6,-3,0,1,0
0,2,-1,-4,-3,-6,-3,-1,0
0,-2,-2,-1,0,-2,0,-1,0
0,-2,0,1,-1,-1,1,-2,0
0,0,4,5,6,11,2,1,0
0,2,0,0,-3,-3,1,-1,0
-2,0,-2,-3,-11,-6,-1,-4,0
-1,1,-3,-2,7,-4,-1,-1,0
-2,-2,-1,-3,-5,-2,-2,-3,0
1,-2,0,1,-2,2,0,-2,0
-1,2,0,0,0,0,0,-1,0
0,-1,-3,-2,-4,0,-1,-2,0
1,-1,0,1,2,-3,-2,0,0
-1,-1,0,-1,1,5,-1,-1,0
0,-1,2,-1,-4,-3,0,0,0
1,0,-1,0,4,1,0,0,0
0,-2,-3,1,0,-1,1,0,0
1,0,-3,0,1,0,-1,0,0
-1,-1,0,-1,-5,-4,-3,0,0
0,0,1,0,-2,-1,0,-2,0
0,-3,-1,-2,3,3,-1,-1,0
-1,-2,1,-1,2,2,0,0,0
-1,-1,-4,-1,-1,-4,0,-2,0
-2,-3,-1,0,-2,-4,-2,-2,0
-1,-2,-2,-2,0,3,-2,0,0
-1,-1,1,-2,-5,1,0,-2,0
0,-1,0,0,5,1,-2,1,0
-2,-1,-3,-1,-9,-4,-3,-1,0
1,2,0,2,6,1,-1,-2,0
-3,1,0,3,3,7,1,1,0
0,2,-3,-2,-10,-9,-4,-1,0
-2,-4,-1,-4,-4,-7,-1,-1,0
-2,0,-2,0,2,5,0,-2,0
0,1,0,-4,-1,0,-2,-1,0
-1,2,0,0,2,-4,-2,1,0
0,0,-1,5,2,5,-1,1,0
1,-2,1,-1,-4,-5,-3,-2,0
1,0,-4,-1,4,1,-1,-1,0
0,-1,0,1,-1,0,-1,0,0
-4,-1,-2,-6,-5,-6,-1,-3,0
1,-1,-1,-2,-3,-4,0,0,0
-3,-2,-1,-2,-3,-2,0,0,0
1,-3,-2,0,8,6,-1,0,0
-3,2,-2,5,2,-1,4,0,0
-1,-1,-1,-2,-3,3,-1,-1,0
1,-1,0,-3,-5,-3,-3,0,0
-1,-2,-1,-2,-2,-2,1,0,0
2,-1,0,0,2,4,-1,-1,0
-1,-1,0,1,-6,-4,2,-1,0
0,-2,-2,1,4,-4,-1,-3,0
-3,0,1,-3,-2,-1,-3,1,0
0,1,-1,-3,-4,0,0,0,0
-3,-2,-3,0,-2,-3,-2,0,0
-2,-1,0,0,2,-2,-1,-2,0
1,1,-3,1,-1,1,1,-2,0
0,0,1,0,4,-2,1,0,0
-2,-3,-1,0,-5,-2,-3,3,0
0,-3,-2,-1,2,5,0,0,0
1,0,0,1,-3,-10,0,-3,0
0,-1,-1,-4,-5,4,0,-1,0
-2,-2,-1,-2,-2,-1,-4,-1,0
0,-2,2,5,5,-1,-1,1,0
-2,1,-2,0,-1,3,4,-2,0
-4,-1,-2,-1,-5,-5,-3,-1,0
0,-2,-2,-4,-1,-6,-2,-1,0
1,0,-1,-5,-9,0,-2,-1,0
1,1,0,2,7,1,-1,0,0
0,4,1,2,0,-1,2,0,0
-2,-1,1,-2,1,1,-1,-1,0
0,-2,-3,-1,-6,-4,-1,0,0
-2,0,0,0,-5,-2,-1,0,0
-1,0,1,0,7,4,-2,-1,0
2,-2,0,0,3,-3,-1,0,0
-2,-1,-2,-1,-3,2,-2,-1,0
-1,1,-2,0,-3,-7,0,-2,0
-2,-2,-2,-3,-4,-3,-1,-1,0
1,1,-1,0,-1,1,-2,1,0
0,-2,-2,0,1,4,0,0,0
-2,0,2,-2,-2,-4,-4,-1,0
-3,-2,1,2,0,-2,0,1,0
1,0,0,1,3,5,1,-1,0
0,0,-2,-1,1,-1,1,0,0
-1,1,-1,0,-4,-3,-2,-2,0
0,-1,-1,-1,4,1,0,-1,0
-1,-1,-1,-1,-5,-1,1,1,0
-1,0,1,2,4,2,-3,1,0
-1,0,-1,0,0,-2,-1,0,0
-2,-2,-1,-2,-2,-6,0,-2,0
-2,-3,-1,-1,0,0,-1,0,0
0,0,1,-3,-3,2,2,-1,0
0,-1,-2,0,4,5,-2,-1,0
1,-1,-2,0,-2,-1,0,0,0
-1,-2,-2,-3,0,-2,-1,1,0
0,0,-2,1,-2,-4,1,-1,0
1,1,-2,2,3,5,3,-1,0
-1,-2,-1,-3,-4,4,-3,0,0
0,-3,-2,-1,-2,-6,-3,0,0
-1,-1,0,1,-1,0,-1,1,0
-2,1,-1,-1,2,-2,2,-2,0
1,0,-3,1,2,-3,0,1,0
-1,0,-1,1,-4,1,-1,2,0
0,1,-1,-2,-5,-6,-2,-2,0
0,-1,-2,0,6,0,-1,1,0
0,0,1,1,-7,-4,-1,-2,0
1,-1,-3,0,0,4,1,-1,0
-1,-2,-1,0,1,3,-1,-1,0
0,-1,1,-1,-7,-9,-3,0,0
-4,-2,-3,-1,3,0,0,-2,0
-1,-2,3,-2,-2,3,1,-3,0
1,3,2,1,8,5,1,-1,0
-1,0,0,1,-3,-5,0,-1,0
0,1,-1,-3,-1,0,-1,1,0
-1,-3,-3,-5,-7,-5,-2,-3,0
-2,-1,-1,-2,-3,0,-1,-2,0
-2,1,-1,0,3,2,0,0,0
1,2,0,2,7,7,0,-1,0
-1,0,-1,-1,-3,-2,-1,-1,0
-1,-1,-3,-3,-5,-7,-4,0,0
-1,-3,-3,-4,-10,-6,-1,-1,0
-2,-3,0,-2,1,3,-2,2,0
0,0,3,5,6,2,2,-1,0
-1,1,-4,1,2,3,3,-3,0
-1,0,-1,1,-2,0,-1,0,0
2,-4,-3,-5,-7,-4,-1,0,0
2,-2,-2,-2,6,1,-2,-1,0
0,-3,1,-3,-6,-3,-2,0,0
0,0,0,-1,-1,5,1,-2,0
1,-4,0,0,6,0,-2,-1,0
1,1,1,1,1,-1,-1,-1,0
-1,-1,0,0,0,-1,-1,-2,0
0,-1,0,-3,-5,-8,-3,-1,0
-3,-3,0,0,1,3,1,1,0
-2,0,-2,-2,-1,1,2,-1,0
1,0,-1,3,3,-2,-1,0,0
-1,0,0,-1,0,1,1,-2,0
0,-2,-1,-1,-4,2,-4,0,0
0,-2,-2,-1,-1,0,1,-1,0
-1,1,-2,-3,-6,-15,0,-2,0
-1,-2,-3,1,5,8,1,-3,0
-1,1,0,1,3,0,0,0,0
1,-1,-1,0,-3,3,-1,3,0
-2,0,-1,-1,-5,-7,-2,-1,0
-3,-1,0,1,-3,-3,-3,0,0
0,-2,-1,-3,-3,0,-1,-1,0
-2,0,1,-3,-1,0,-1,1,0
1,1,0,3,4,-1,2,-1,0
-1,2,1,1,4,3,2,-1,0
0,0,-5,-2,-1,-1,-1,0,0
0,-3,-3,-2,-4,-1,-2,0,0
1,0,1,0,0,-7,1,-3,0
-2,0,-1,-1,-4,0,-2,-2,0
-1,-3,-1,-1,0,0,-2,1,0
-1,-1,-1,-2,-1,-2,-1,1,0
-1,1,-1,0,0,5,-2,-1,0
-1,0,0,-1,1,-3,-1,-1,0
0,-2,2,0,-4,-6,1,0,0
1,-1,-5,-1,3,6,-2,-1,0
-1,2,0,0,0,6,0,-1,0
-1,1,-2,-2,-8,-8,0,-1,0
-1,-2,0,-1,5,9,1,-1,0
0,1,0,1,1,0,2,0,0
0,3,0,4,4,-2,-1,-1,0
0,-2,-1,-3,-7,-3,-3,0,0
0,-3,0,-4,-4,0,-2,0,0
0,-1,0,-2,1,0,-2,0,0
-4,1,2,0,-3,-3,-1,-3,0
-2,1,0,1,2,0,1,-3,0
-1,-2,-1,-3,-3,0,-3,2,0
0,-2,-2,-2,-1,-4,2,1,0
0,1,0,-1,0,0,-2,-3,0
-1,-1,-2,2,-3,-5,-3,3,0
0,0,1,-1,2,5,1,0,0
0,-1,0,1,-1,1,1,1,0
-1,-1,-2,-1,-4,-6,-3,-1,0
1,-3,-1,-2,1,4,-1,-1,0
2,-2,0,3,6,5,-1,-1,0
-2,1,2,0,-1,-1,1,-2,0
-1,0,-2,-2,-7,-5,0,-1,0
-3,-2,-6,-3,-5,-7,-3,-1,0
-2,-2,-1,-6,-6,-5,-2,0,0
-1,-4,2,2,7,6,1,-1,0
-2,1,0,4,4,4,1,-1,0
-1,2,-3,-2,-4,0,0,1,0
0,-2,-2,0,3,-3,-1,0,0
1,-1,0,-7,-7,-4,-1,-2,0
0,0,-1,-4,-8,-6,-3,-2,0
-2,2,1,-1,6,-2,2,1,0
0,-1,-3,0,4,8,1,0,0
-1,-1,-2,3,1,1,0,-2,0
-1,1,0,0,-1,-2,-1,0,0
-1,0,0,-1,-1,-1,0,-3,0
0,-1,-2,-4,-6,-7,-2,-1,0
-1,-3,-2,-2,-4,-2,1,2,0
-2,-2,-1,0,1,3,0,-2,0
-1,0,0,4,8,5,0,-2,0
-1,-2,0,-3,-1,-4,-1,0,0
-1,-1,0,-4,-3,1,-2,-3,0
0,1,-1,-2,-3,-5,1,0,0
-1,-1,1,4,2,5,0,-1,0
-1,0,0,2,3,6,1,-2,0
-1,0,1,-2,-3,-1,-3,1,0
-1,-1,0,-2,0,-2,1,1,0
-2,-3,0,-2,-7,-10,-1,-2,0
0,-6,0,-1,7,3,-2,2,0
0,0,-1,0,-1,0,-2,-2,0
-2,2,0,2,0,-3,-2,-2,0
1,-1,-1,0,-2,-1,0,-1,0
1,-1,3,-1,-6,-4,-1,0,0
0,0,-1,-2,3,-3,0,0,0
0,0,-2,1,2,2,2,0,0
-2,0,0,-1,-3,-4,1,-1,0
-2,-3,-3,-2,-5,0,1,-1,0
-2,-1,-2,3,6,5,1,-1,0
-1,3,0,3,0,-2,1,-1,0
0,1,-3,-2,-1,-3,-4,-1,0
0,-2,-1,-1,-3,0,-1,-1,0
-1,-3,0,-2,-3,-2,-1,-1,0
-3,0,0,-3,-1,-1,0,-2,0
0,1,0,-1,-1,-4,-2,0,0
-1,-1,-2,-1,6,5,0,0,0
0,-2,-1,0,0,0,-2,-1,0
0,-1,-1,-3,-5,-6,-2,0,0
-1,2,0,1,4,0,1,1,0
-1,0,-2,-4,-5,-2,1,1,0
-1,0,-1,-1,5,3,0,1,0
-1,2,2,3,3,7,2,0,0
1,0,0,1,-3,-5,-1,0,0
-1,-2,-3,-2,-7,-3,-2,-1,0
-2,0,0,-4,-2,-5,-2,-1,0
-1,-2,0,-2,-5,-6,-4,-2,0
1,-2,1,-1,5,2,-1,0,0
0,-1,-1,2,3,7,1,1,0
1,1,1,2,5,3,3,0,0
-1,1,-2,0,-1,-1,0,-3,0
0,1,-1,-2,-1,1,0,0,0
1,-3,0,-1,-3,0,-3,1,0
1,0,0,0,-2,1,-1,-2,0
-1,0,-1,-1,1,-2,-1,0,0
-3,-2,-1,-3,-10,-4,-1,-3,0
0,-3,-1,-2,6,-1,1,-1,0
-1,0,-4,-2,-5,-3,0,1,0
-1,-1,-2,2,2,-3,-1,-1,0
-3,3,0,-1,-1,3,-1,0,0
1,-4,-3,0,-2,-1,-1,1,0
-1,-2,-1,-1,-3,-1,-3,-1,0
-2,0,2,-2,-2,-2,0,1,0
-2,1,-1,-1,2,-2,0,-3,0
3,2,1,4,0,-1,1,-1,0
-2,-2,-2,-1,-6,-6,-1,0,0
-2,-1,-1,-2,0,1,1,-2,0
1,-2,0,2,-1,-1,2,-1,0
-2,-1,0,-2,0,0,0,-2,0
-2,-1,2,1,0,5,-1,-1,0
1,2,0,1,3,-7,-2,0,0
-3,-3,-4,-3,-3,1,1,-1,0
-1,-1,-1,-4,-2,2,-3,-2,0
1,-2,1,-1,-5,-5,-2,-2,0
0,-1,-1,1,-2,-4,-2,-3,0
1,0,0,2,8,-3,-1,1,0
-1,3,0,1,2,5,-2,1,0
0,1,0,-1,0,3,2,-3,0
-3,2,-1,-4,-1,1,2,-1,0
-1,-1,-2,0,-4,-4,-2,-2,0
-1,-3,-3,0,-4,-2,1,2,0
-1,-3,-1,0,2,3,-3,2,0
0,-1,0,-1,-7,-14,0,0,0
-1,0,1,0,3,6,-1,-1,0
-1,-1,-1,-2,8,4,-1,-1,0
2,1,-1,0,3,2,1,0,0
-1,3,-2,1,-5,1,-2,-2,0
